"pathway_id","cpd_id","pathway_name"
"map00010","C00022","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C00024","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C00031","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C00033","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C00036","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C00068","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C00074","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C00084","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C00103","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C00111","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C00118","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C00186","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C00197","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C00221","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C00236","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C00267","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C00469","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C00631","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C00668","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C01159","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C01172","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C01451","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C05125","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C05345","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C05378","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C06186","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C06187","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C06188","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C15972","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C15973","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00010","C16255","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"map00020","C00022","Citrate cycle (TCA cycle) - Homo sapiens (human)"
"map00020","C00024","Citrate cycle (TCA cycle) - Homo sapiens (human)"
"map00020","C00026","Citrate cycle (TCA cycle) - Homo sapiens (human)"
"map00020","C00036","Citrate cycle (TCA cycle) - Homo sapiens (human)"
"map00020","C00042","Citrate cycle (TCA cycle) - Homo sapiens (human)"
"map00020","C00068","Citrate cycle (TCA cycle) - Homo sapiens (human)"
"map00020","C00074","Citrate cycle (TCA cycle) - Homo sapiens (human)"
"map00020","C00091","Citrate cycle (TCA cycle) - Homo sapiens (human)"
"map00020","C00122","Citrate cycle (TCA cycle) - Homo sapiens (human)"
"map00020","C00149","Citrate cycle (TCA cycle) - Homo sapiens (human)"
"map00020","C00158","Citrate cycle (TCA cycle) - Homo sapiens (human)"
"map00020","C00311","Citrate cycle (TCA cycle) - Homo sapiens (human)"
"map00020","C00417","Citrate cycle (TCA cycle) - Homo sapiens (human)"
"map00020","C05125","Citrate cycle (TCA cycle) - Homo sapiens (human)"
"map00020","C05379","Citrate cycle (TCA cycle) - Homo sapiens (human)"
"map00020","C05381","Citrate cycle (TCA cycle) - Homo sapiens (human)"
"map00020","C15972","Citrate cycle (TCA cycle) - Homo sapiens (human)"
"map00020","C15973","Citrate cycle (TCA cycle) - Homo sapiens (human)"
