"","GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"Acox1","Acox1",1.65805121106054,8.81667175476575,26.7290057640512,3.2191637532737e-18,6.87778072551872e-15,31.7482657031961,"Up"
"Acat3","Acat3",-1.96617850443668,6.03534857185169,-23.672604947128,4.22967884857821e-17,3.07682700741261e-14,29.2609005610173,"Down"
"Elovl3","Elovl3",-5.0863984444276,5.28860538984057,-22.943201264383,8.18658715584437e-17,4.53390155120473e-14,28.6165936146556,"Down"
"Echdc3","Echdc3",-1.7531296116446,3.76354336236652,-22.5134382294856,1.21913669216721e-16,6.16936172179746e-14,28.2268826884725,"Down"
"Akr1c6","Akr1c6",-2.86781864927643,8.20443806032841,-20.8451715063266,6.12986822845991e-16,2.2621466903627e-13,26.6380633182203,"Down"
"Adh7","Adh7",3.04788028851668,0.276129919135563,20.0982055298303,1.31284744202778e-15,4.02111352046351e-13,25.8845314784217,"Up"
"Cidec","Cidec",8.55213474220582,1.13915485767209,19.641945194164,2.11714368912775e-15,5.26443492774611e-13,25.4104454029999,"Up"
"Cat","Cat",-2.01770652167278,8.94466361974455,-19.6181826153947,2.17108752067887e-15,5.26443492774611e-13,25.3854578452268,"Down"
"Pecr","Pecr",-1.90230730191325,5.80552438376802,-19.4425143655398,2.61713906042086e-15,5.64613006144904e-13,25.1998065180255,"Down"
"Angptl3","Angptl3",-2.0275823891427,6.41036958367309,-19.288377296588,3.08725485791764e-15,6.30395777040411e-13,25.0355514476892,"Down"
"Akr1d1","Akr1d1",-3.56857541646298,4.77472628977483,-19.0165274698201,4.14349633403484e-15,8.0039146881079e-13,24.742710335004,"Down"
"Bco2","Bco2",-2.60015432376706,2.18991560908124,-18.8108201592424,5.18984920856668e-15,9.43822733414181e-13,24.5184030793146,"Down"
"Ces1d","Ces1d",-3.06126275195543,6.7466023793034,-18.5994404211493,6.55592256048671e-15,1.10142695747053e-12,24.2854259473544,"Down"
"Aqp8","Aqp8",-4.63259011968053,4.55923621993643,-18.5424856840691,6.98475970634392e-15,1.14500870735404e-12,24.2222155206128,"Down"
"Abca8a","Abca8a",-4.56443146976047,2.05910685293945,-17.8742956336483,1.48828886098306e-14,2.10918479922814e-12,23.4664257670396,"Down"
"Acsm5","Acsm5",-1.91709205491474,4.2487193672729,-16.9553055491045,4.39106353252452e-14,4.64614440500480e-12,22.3821112470195,"Down"
"Bdh2","Bdh2",-2.96249443290893,1.90895811955415,-16.8147644935784,5.20437760667464e-14,5.36050893487488e-12,22.2114746691498,"Down"
"Acss2","Acss2",-3.94081055667606,3.00726417151381,-16.3197307398094,9.5634527886674e-14,8.84277450844553e-12,21.5997907322087,"Down"
"Ces1f","Ces1f",-2.8616719273724,5.42328819478791,-16.0121325312362,1.40696858234673e-13,1.16139768297401e-11,21.2111193799829,"Down"
"Eif6","Eif6",1.63488841356554,4.1814696875546,15.653793732671,2.22380755457556e-13,1.68978861147856e-11,20.7497359632263,"Up"
"Aadac","Aadac",-1.38420200489449,7.85081748202811,-15.649616433247,2.23582306184121e-13,1.68978861147856e-11,20.7443017538141,"Down"
"Pex7","Pex7",-1.03949688014982,4.05013022230863,-15.4281251101521,2.98045243832195e-13,2.12813157113101e-11,20.4542951200768,"Down"
"Rbp4","Rbp4",-1.07960288770873,10.430655074249,-15.4142889650889,3.03480561783266e-13,2.14073349005784e-11,20.4360562002412,"Down"
"Srd5a1","Srd5a1",-2.00269009958748,4.42401763494447,-15.0889320568496,4.66029723396594e-13,2.93195673006106e-11,20.0029354239591,"Down"
"Ddhd2","Ddhd2",1.83647764910102,1.69047130859062,15.060640699187,4.83915673481669e-13,3.02811533529739e-11,19.9648853894536,"Up"
"Acat2","Acat2",-1.90222774662477,5.17550755578366,-15.03273380698,5.02259945154048e-13,3.09301772573966e-11,19.9272908867139,"Down"
"Dcaf5","Dcaf5",1.24533382895858,2.5296803509962,14.979744665089,5.39112544401003e-13,3.21781072014527e-11,19.8557382746615,"Up"
"Ppard","Ppard",-2.56868668591661,1.05121768059825,-14.9300673405857,5.7622290545315e-13,3.40439512516204e-11,19.7884560514354,"Down"
"Lpgat1","Lpgat1",2.50172118487,5.39837634814729,14.9146471278285,5.88275765429855e-13,3.44067418785833e-11,19.7675313142688,"Up"
"Abcb11","Abcb11",-2.43500412152726,6.1988942506755,-14.7903941804262,6.95514720741361e-13,3.80051447638906e-11,19.5982313323382,"Down"
"Rgn","Rgn",-1.59637399758173,8.65807448970956,-14.761162026342,7.23584575062322e-13,3.91711668332575e-11,19.5582212479874,"Down"
"Pemt","Pemt",-1.08419012575683,6.4094150957514,-14.6708877081893,8.17958612243253e-13,4.36066040945607e-11,19.4342265482192,"Down"
"Akr1c20","Akr1c20",-2.49585671213297,4.73268917630874,-14.6685021044313,8.20619759100449e-13,4.36066040945607e-11,19.4309408742127,"Down"
"Tnfrsf1a","Tnfrsf1a",1.23912742692837,5.09682635858853,14.661497731659,8.28485370292838e-13,4.36323132345626e-11,19.4212911274248,"Up"
"Lipc","Lipc",-1.25117022986685,5.23609025193363,-14.4704980860736,1.07618596513696e-12,5.46975041407384e-11,19.156606763434,"Down"
"Nceh1","Nceh1",2.80954758640244,2.92883111874177,14.4138309853906,1.16366557572963e-12,5.71472727253891e-11,19.0774989733564,"Up"
"Eci2","Eci2",1.37890711269528,5.97784270299688,14.2884425215202,1.38458371291669e-12,6.57762034066833e-11,18.9015021480562,"Up"
"P2ry2","P2ry2",1.58565983274506,1.52557924831173,14.2290455420897,1.5040708893458e-12,6.97445461398239e-11,18.8176699518581,"Up"
"Iah1","Iah1",-1.01118849070555,6.04274353790054,-14.2235469157888,1.51566225822185e-12,6.99443361512811e-11,18.8098941510647,"Down"
"Thnsl2","Thnsl2",-1.234266159202,3.87865686430304,-14.1478596975987,1.68501088457527e-12,7.63106680372434e-11,18.7026009541136,"Down"
"Lactb","Lactb",-1.02005738851596,3.89806122505358,-14.0972581547942,1.8091237055807e-12,8.00623224686457e-11,18.6305960749916,"Down"
"Sh3glb1","Sh3glb1",0.732769743530528,3.30048174520539,14.0355704487658,1.9734118858378e-12,8.6673739393457e-11,18.5425183893607,"No change"
"Gm2a","Gm2a",-1.67199213698432,4.10924107711642,-13.9568019410353,2.20604960077931e-12,9.58067585950389e-11,18.4295748331582,"Down"
"Cyp4a31","Cyp4a31",2.40021965225172,4.03135420160518,13.7159232074266,3.11168708968518e-12,1.23358468804887e-10,18.0808209640915,"Up"
"Slc10a3","Slc10a3",1.90559354491161,1.16839282654247,13.5916115583649,3.72316406009515e-12,1.44446354984825e-10,17.8988253874748,"Up"
"Alkbh7","Alkbh7",-1.59591305478292,2.1394052074115,-13.4765872722461,4.40063418850195e-12,1.67931086294997e-10,17.7291881393428,"Down"
"Plin2","Plin2",3.02629413828213,7.41946622614233,13.4611344271267,4.50097490456635e-12,1.70641195160416e-10,17.7063069205733,"Up"
"Hsd3b7","Hsd3b7",-1.21081355204981,5.44064744901449,-13.1174525480676,7.47145925586329e-12,2.53528613058288e-10,17.1917317616722,"Down"
"Mgll","Mgll",1.83122713252693,4.88322109731747,13.0724658011545,7.99006929669262e-12,2.6512538178328e-10,17.1235606895305,"Up"
