,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,metabs_mean,FoldEnrich,query
map00230,map00230,Purine metabolism,13/54,101/2402,1.57E-07,7.52E-06,5.61E-06,C00147/C00020/C00002/C00575/C00360/C00330/C00286/C00144/C00262/C00130/C00294/C00086/C00655,13,1.011065849,5.725339201,adenine/amp/atp/cyclic-amp/damp/deoxyguanosine/dgtp/gmp/hypoxanthine/imp/inosine/urea/xanthosine-5-phosphate
map00010,map00010,Glycolysis / Gluconeogenesis,Jun-54,31/2402,4.65E-05,0.001029771,0.000767812,C00024/C00118/C00111/C05378/C00186/C00074,6,0.638534685,8.609318996,"acetyl-coa/d-glyceraldehdye-3-phosphate/dihydroxy-acetone-phosphate/fructose-1,6-bisphosphate/lactate/phosphoenolpyruvate"
map00240,map00240,Pyrimidine metabolism,Aug-54,64/2402,6.44E-05,0.001029771,0.000767812,C00475/C00380/C00239/C00364/C00365/C00086/C00299/C00075,8,1.314812988,5.560185185,cytidine/cytosine/dcmp/dtmp/dump/urea/uridine/utp
map00260,map00260,"Glycine, serine and threonine metabolism",Jun-54,48/2402,0.000577825,0.006933896,0.00517001,C00576/C02291/C00581/C00213/C00188/C00078,6,2.108734611,5.560185185,betaine aldehyde/cystathionine/guanidoacetic acid/sarcosine/threonine/tryptophan
map00620,map00620,Pyruvate metabolism,Apr-54,32/2402,0.005145156,0.049393498,0.036828485,C00024/C00227/C00186/C00074,4,0.720431272,5.560185185,acetyl-coa/acetylphosphate/lactate/phosphoenolpyruvate
map00030,map00030,Pentose phosphate pathway,Apr-54,37/2402,0.008696614,0.069572913,0.051874541,C00345/C00279/C00118/C05378,4,0.511709532,4.808808809,"6-phospho-d-gluconate/d-erythrose-4-phosphate/d-glyceraldehdye-3-phosphate/fructose-1,6-bisphosphate"
map00430,map00430,Taurine and hypotaurine metabolism,Mar-54,24/2402,0.015569657,0.095542002,0.071237458,C00024/C00227/C00041,3,0.913177366,5.560185185,acetyl-coa/acetylphosphate/alanine
map00270,map00270,Cysteine and methionine metabolism,May-54,67/2402,0.015962018,0.095542002,0.071237458,C00041/C02291/C00021/C00979/C00019,5,3.59627059,3.319513543,alanine/cystathionine/s-adenosyl-l-homocysteine/o-acetyl-l-serine/s-adenosyl-l-methionine
map00052,map00052,Galactose metabolism,Apr-54,46/2402,0.018513713,0.095542002,0.071237458,C00118/C00111/C00085/C00446,4,0.569627073,3.867954911,d-glyceraldehdye-3-phosphate/dihydroxy-acetone-phosphate/fructose-6-phosphate/glucose-1-phosphate
map00562,map00562,Inositol phosphate metabolism,Apr-54,47/2402,0.019904584,0.095542002,0.071237458,C00024/C00118/C00111/C00092,4,0.577843003,3.785657998,acetyl-coa/d-glyceraldehdye-3-phosphate/dihydroxy-acetone-phosphate/glucose-6-phosphate
map00051,map00051,Fructose and mannose metabolism,Apr-54,55/2402,0.033361902,0.124201992,0.092606749,C00118/C00111/C05378/C00186,4,0.625393205,3.235016835,"d-glyceraldehdye-3-phosphate/dihydroxy-acetone-phosphate/fructose-1,6-bisphosphate/lactate"
map00760,map00760,Nicotinate and nicotinamide metabolism,Apr-54,55/2402,0.033361902,0.124201992,0.092606749,C00111/C00153/C00455/C03722,4,0.81076911,3.235016835,dihydroxy-acetone-phosphate/nicotinamide/nicotinamide ribotide/quinolinate
map00410,map00410,beta-Alanine metabolism,Mar-54,32/2402,0.03363804,0.124201992,0.092606749,C00024/C00864/C03722,3,0.828683026,4.170138889,acetyl-coa/pantothenate/quinolinate
map00400,map00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",Mar-54,35/2402,0.042348963,0.145196445,0.108260507,C00279/C00074/C00078,3,0.644359958,3.812698413,d-erythrose-4-phosphate/phosphoenolpyruvate/tryptophan
map00640,map00640,Propanoate metabolism,Mar-54,41/2402,0.062810878,0.20099481,0.149864551,C00024/C00111/C00186,3,0.733579025,3.254742547,acetyl-coa/dihydroxy-acetone-phosphate/lactate
map00330,map00330,Arginine and proline metabolism,Apr-54,69/2402,0.06725188,0.20175564,0.150431837,C00581/C00019/C00213/C00086,4,1.065898079,2.578636608,guanidoacetic acid/s-adenosyl-l-methionine/sarcosine/urea
map00020,map00020,Citrate cycle (TCA cycle),Feb-54,20/2402,0.072818217,0.205604378,0.15330151,C00024/C00074,2,0.664817645,4.448148148,acetyl-coa/phosphoenolpyruvate
map00220,map00220,Arginine biosynthesis,Feb-54,23/2402,0.092945311,0.234809207,0.17507704,C00327/C00086,2,1.090908394,3.867954911,citrulline/urea
map00290,map00290,"Valine, leucine and isoleucine biosynthesis",Feb-54,23/2402,0.092945311,0.234809207,0.17507704,C00024/C00188,2,0.972549892,3.867954911,acetyl-coa/threonine
map00071,map00071,Fatty acid degradation,Mar-54,50/2402,0.10046334,0.241112017,0.179776504,C00024/C00010/C03547,3,0.927898815,2.668888889,acetyl-coa/coenzyme a/glycolate
map00380,map00380,Tryptophan metabolism,Apr-54,83/2402,0.113920172,0.260388965,0.194149667,C00024/C00328/C03722/C00078,4,0.579788365,2.143685855,acetyl-coa/kynurenine/quinolinate/tryptophan
