,log2foldchange,pval,qval,gene_symbol,is_significant
1,0.369949422,0.149560697,0.376544322,TSPAN6,FALSE
2,0.07235958,0.862381384,0.940427298,TNMD,FALSE
3,0.073051719,0.664966563,0.837544383,DPM1,FALSE
4,-0.006494844,0.956597195,0.981721032,SCYL3,FALSE
5,-0.209796785,0.331270372,0.590470658,C1orf112,FALSE
10,-0.081607982,0.686195475,0.850157315,NFYA,FALSE
11,-0.135458101,0.266051962,0.522726775,STPG1,FALSE
12,0.097975284,0.422190284,0.670314192,NIPAL3,FALSE
13,-0.117951857,0.259571664,0.515927979,LAS1L,FALSE
14,0.473867595,0.132494863,0.350478017,ENPP4,FALSE
15,-0.185368063,0.299409671,0.55766825,SEMA3F,FALSE
17,0.119899819,0.125714563,0.34007413,ANKIB1,FALSE
18,0.123919007,0.496898496,0.727784849,CYP51A1,FALSE
19,-0.026843958,0.815878713,0.918640222,KRIT1,FALSE
20,-0.18698513,0.031501508,0.144933107,RAD52,FALSE
21,-0.422669732,0.068661851,0.235879501,NA,FALSE
22,-0.33755148,0.027240465,0.132299805,BAD,FALSE
24,0.679465722,0.010759803,0.072353433,CD99,FALSE
25,0.181858631,0.442483705,0.685871244,HS3ST1,FALSE
26,0.739254615,0.119542164,0.329508324,AOC1,FALSE
27,-0.194160982,0.684272224,0.849280656,WNT16,FALSE
28,0.577597763,0.119545825,0.329508324,HECW1,FALSE
29,-0.121178404,0.599897893,0.797843914,MAD1L1,FALSE
31,0.105352444,0.33992193,0.599199702,SNX11,FALSE
32,0.599403231,0.024096973,0.122458323,TMEM176A,FALSE
34,-0.619808312,0.11920368,0.329061579,KLHL13,FALSE
35,-0.05343594,0.871001301,0.944500509,CYP26B1,FALSE
36,-0.229361963,0.370669183,0.626422625,ICA1,FALSE
38,0.022685648,0.857701828,0.938096256,ALS2,FALSE
42,-0.003206126,0.979498226,0.991504034,NDUFAF7,FALSE
43,0.039455642,0.707499243,0.862935055,RBM5,FALSE
44,-0.175486304,0.512997615,0.739627213,MTMR7,FALSE
45,0.577073586,0.096774657,0.290490878,SLC7A2,FALSE
46,-0.145406748,0.193884233,0.436615824,ARF5,FALSE
48,-0.067214875,0.41963842,0.668593911,POLDIP2,FALSE
49,0.330214882,0.018940212,0.105059319,PLXND1,FALSE
50,0.061536381,0.43459728,0.679882549,AK2,FALSE
52,-0.003462398,0.980212613,0.991827942,FKBP4,FALSE
53,-0.28809807,0.030356197,0.141534462,KDM1A,FALSE
54,0.004135849,0.981218351,0.992350356,RBM6,FALSE
55,-0.455783624,0.011963182,0.077251295,CAMKK1,FALSE
56,0.145922336,0.325290673,0.584928155,RECQL,FALSE
57,0.170721341,0.406569514,0.658499919,VPS50,FALSE
58,0.094821931,0.759058976,0.889517412,HSPB6,FALSE
60,0.0315398,0.838557946,0.92918765,NDUFAB1,FALSE
61,0.390788225,0.229592724,0.480964318,PDK4,FALSE
62,0.286063478,0.512093713,0.739275344,SLC22A16,FALSE
65,-1.005722985,0.106835765,0.308601941,ARX,FALSE
66,-0.029694308,0.863987593,0.940994175,SLC25A13,FALSE
67,-0.155688172,0.37118612,0.626974836,ST7,FALSE
68,0.11678269,0.524410416,0.747214895,CDC27,FALSE
69,1.013861468,0.034352832,0.152800495,SLC4A1,FALSE
70,0.112947483,0.805716339,0.913145942,CALCR,FALSE
71,0.148495114,0.439619179,0.683816715,HCCS,FALSE
72,-0.250045665,0.034937628,0.15433108,DVL2,FALSE
74,0.122968912,0.29982621,0.558064133,UPF1,FALSE
75,0.38606059,0.09117694,0.280200621,SKAP2,FALSE
76,0.2473534,0.091108724,0.280108745,SLC25A5,FALSE
77,-0.385729731,0.015546621,0.092137739,MCUB,FALSE
78,-0.60811701,0.349510466,0.608022038,HOXA11,FALSE
79,-0.247312013,0.169052253,0.40366243,POLR2J,FALSE
80,-0.131681229,0.301800741,0.559978074,DHX33,FALSE
81,1.199686322,0.016390269,0.095340009,MEOX1,FALSE
82,0.268359154,0.362382802,0.619346694,THSD7A,FALSE
83,-0.092728272,0.331180967,0.590353428,LIG3,FALSE
84,0.119101768,0.600842223,0.798406922,RPAP3,FALSE
85,0.164093216,0.643581542,0.8253212,ACSM3,FALSE
87,-0.280788606,0.011263993,0.074608135,CIAPIN1,FALSE
88,-0.147283469,0.367709492,0.623839414,SPPL2B,FALSE
89,0.253110895,0.079790087,0.258624324,FAM214B,FALSE
92,0.238690572,0.032921597,0.148825165,MSL3,FALSE
93,0.044466779,0.677348556,0.845736963,CREBBP,FALSE
94,-0.454660994,0.061179431,0.219501789,TSPOAP1,FALSE
95,0.03444584,0.952501701,0.980466939,MPO,FALSE
96,-0.483671572,0.165010635,0.398504937,PON1,FALSE
97,-0.213640727,0.106281528,0.307584413,GCFC2,FALSE
98,-0.409560916,0.012598088,0.080292726,WDR54,FALSE
