,pvalue,fc,log2fc
dgdp,0.3411274844479192,0.9407504166028795,-0.08811607170951252
kynurenine,5.20996314756719e-07,0.4832417026512552,-1.0491831335768818
d-erythrose-4-phosphate,2.560949908796969e-08,0.45856439086944834,-1.1248037659404326
hexose-phosphate,5.26093864684861e-06,0.539009732567409,-0.891616771816874
urea,0.038790156952861345,0.8970052765834348,-0.1568116231448726
6-phospho-d-gluconate,8.246636735842179e-05,0.5452728696302335,-0.8749497197779506
tryptophan,0.0052792382255460865,0.8870453146326145,-0.17292028852801178
ascorbic acid,0.11979092621123202,0.8290617345873399,-0.27044856148126745
adenosine 5-phosphosulfate,0.24433522034524435,0.8641943648484788,-0.210572271309473
nadh_neg,0.1197970239426768,0.8587940197968464,-0.21961594984749058
guanosine,0.006597394318959575,0.7216175049670327,-0.4706937590340666
purine,0.10062161466254835,1.1063840871491806,0.14585231182152736
3-phosphoglycerate,3.145562940090586e-05,0.6044165400235173,-0.7263849541010272
udp,0.40323821051439634,0.9470253496756402,-0.07852505107135986
cholesterol sulfate,0.03816804994198993,0.6423638071211596,-0.638537485901657
gtp,0.2679210450587195,0.8120700875971983,-0.3003238469531467
myo-inositol,0.5482714609499213,0.9064905440515499,-0.14163612414141308
aminoimidazole carboxamide ribonucleotide,0.07065465763709923,0.6215036116790976,-0.6861653198020661
nad+_pos,0.06372102711784412,1.1291690236931986,0.17526145722898975
glutathione_pos,0.38302557807542525,0.9150636633403236,-0.12805597598217042
2-hydroxygluterate,0.037555491660219126,0.8550209359938512,-0.2259683487078767
phosphorylcholine,0.0666205160985112,1.0913814962313668,0.12615548893539258
s-adenosyl-l-methionine,0.001138551026204982,1.183568146582818,0.24314277485722172
dcdp,0.717697203317083,1.0052566841038173,0.007563928867814007
citrate-isocitrate,0.1666231922635475,0.7552335596918891,-0.40500522091148744
deoxyribose-phosphate,0.5092179837323216,0.9407013466598712,-0.08819132526087452
n-acetyl-l-alanine_neg,0.28104238069878007,1.0746335400643865,0.10384477138160308
deoxyinosine,0.12299060978698571,1.15727546693249,0.2107323108371463
acadesine,0.8189749410184837,1.2225135908868952,0.28985050394735323
oxaloacetate,0.5007416240624467,0.871618399176672,-0.19823144395812542
dtmp_neg,2.5618489416546165e-08,1.9041476693616632,0.9291453660380307
glutamine,0.6687418335996806,1.1004836404573588,0.1381376986084175
2-deoxyglucose-6-phosphate,0.004292589971138591,0.7124867454239363,-0.4890649193037066
aminoadipic acid,0.16866738250733027,1.0424708798158868,0.06000708426276801
glucose-6-phosphate,1.0560181342965008e-09,0.2961083734717655,-1.7558028066840106
xanthurenic acid,0.48401585008413883,0.939641599723571,-0.08981750926567572
lactate,1.3712919713217978e-05,0.7728688739505539,-0.3717044296999864
taurine,0.15863687931683823,0.9012362466356187,-0.1500227566914466
a-ketoglutarate,0.5979288167318105,1.1168068433278422,0.15937968692246351
phenyllactic acid,0.020968931121158885,0.6306465371690048,-0.665096460442242
fad,0.02981452903193771,0.8384704022984847,-0.2541682368113297
allantoate,0.8447285073282405,0.46817466805202695,-1.0948812195241946
nicotinamide ribotide,0.028827523393992305,1.5740350526630178,0.6544676690156781
betaine,0.00025369518147623065,0.6958731481626246,-0.5231037560492127
fructose-6-phosphate,1.640464577153972e-06,0.3745870986314068,-1.4166268831361222
alanine,0.013723149449281893,1.2181460502492092,0.284687116280698
p-aminobenzoate,0.11211059619394274,0.8785260036812621,-0.18684310537905727
gmp,1.7564388577154572e-06,1.4243723405004969,0.5103263257825768
s-adenosyl-l-homocysteine_neg,5.979448379267131e-07,1.8619462760092704,0.8968114464449466
glyoxylate,0.7376226535078179,1.0658879952502363,0.09205584598948385
creatine,0.9075810345963267,1.0754691394585316,0.10496612728174287
phenylalanine,0.379418161685507,1.046875083011348,0.06608930485543726
d-gluconate,0.2930539059882803,0.7632969283149551,-0.3896837092879488
d-glyceraldehdye-3-phosphate,1.2333228428074618e-08,0.5873954376352563,-0.7675960347515856
creatinine,0.4396234569155538,0.9769584506304805,-0.033630888214693115
fumarate,0.5394666172474829,1.0401545854994987,0.05679795448208529
inosine,5.430432887951113e-06,0.6729568709992025,-0.5714140476883123
s-ribosyl-l-homocysteine_neg,0.15863344907422905,1.209662034332345,0.2746040313852479
hydroxyproline,0.008699590867326093,1.3783981588090033,0.46299267960143153
2-hydroxy-2-methylbutanedioic acid,0.0691182177699349,0.8569144423676095,-0.2227769275785208
guanine,0.4164293168386841,1.1694882779820357,0.22587740133810566
guanidoacetic acid,0.005845690958647773,1.1662734027359816,0.2219060308497183
