"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","FoldEnrich","symbol"
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","64/440","297/8779",2.14009913805046e-24,6.03507956930229e-22,4.52799922892781e-22,"6376/920/355/3604/2920/1439/3560/959/6367/50615/10148/944/6347/3587/3458/1235/5618/6364/3554/9173/8809/8807/356/7292/1441/729230/8743/3624/3581/1236/3976/3559/3601/90865/4283/939/9180/3561/3606/651/10563/3570/11009/7048/1230/3600/4982/1524/3575/3627/6373/10663/3603/2829/1237/1436/1233/284340/1438/4049/23495/6351/6362/6358",64,4.29947964493419,"CX3CL1/CD4/FAS/TNFRSF9/CXCL2/CSF2RB/IL2RB/CD40LG/CCL22/IL21R/EBI3/TNFSF8/CCL2/IL10RA/IFNG/CCR6/PRLR/CCL20/IL1R1/IL1RL1/IL18R1/IL18RAP/FASLG/TNFSF4/CSF3R/CCR2/TNFSF10/INHBA/IL9R/CCR7/LIF/IL2RA/IL15RA/IL33/CXCL9/CD27/OSMR/IL2RG/IL18/BMP3/CXCL13/IL6R/IL24/TGFBR2/CCR1/IL15/TNFRSF11B/CX3CR1/IL7R/CXCL10/CXCL11/CXCR6/IL16/XCR1/CCR8/CSF1R/CCR4/CXCL17/CSF2RA/LTA/TNFRSF13B/CCL4/CCL18/CCL14"
"hsa04640","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","36/440","99/8779",2.70909679320547e-22,3.81982647841972e-20,2.86593923912789e-20,"952/928/920/933/960/945/3554/914/1380/1441/3581/3559/2209/931/911/917/3570/3673/915/3575/3684/924/930/1436/3123/1604/3117/1438/1378/3111/3108/3122/3115/3113/3112/3109",36,7.25537190082645,"CD38/CD9/CD4/CD22/CD44/CD33/IL1R1/CD2/CR2/CSF3R/IL9R/IL2RA/FCGR1A/MS4A1/CD1C/CD3G/IL6R/ITGA2/CD3D/IL7R/ITGAM/CD7/CD19/CSF1R/HLA-DRB1/CD55/HLA-DQA1/CSF2RA/CR1/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DOB/HLA-DMB"
"hsa05150","Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","34/440","96/8779",1.10325563575385e-20,1.03706029760862e-18,7.78085553636925e-19,"3075/3683/2213/3383/6404/2212/2209/715/3689/717/5724/3684/2357/719/713/712/716/2359/3123/3117/728/1675/2214/3111/3108/3122/3426/3115/721/3113/3112/3109/629/720",34,7.06642992424242,"CFH/ITGAL/FCGR2B/ICAM1/SELPLG/FCGR2A/FCGR1A/C1R/ITGB2/C2/PTAFR/ITGAM/FPR1/C3AR1/C1QB/C1QA/C1S/FPR3/HLA-DRB1/HLA-DQA1/C5AR1/CFD/FCGR3A/HLA-DOA/HLA-DMA/HLA-DRA/CFI/HLA-DPB1/C4B/HLA-DPA1/HLA-DOB/HLA-DMB/CFB/C4A"
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","32/440","86/8779",2.73227351820945e-20,1.92625283033767e-18,1.44522888726342e-18,"3075/7035/5054/7450/1380/2152/1191/5328/722/725/2162/3687/710/11326/715/3689/717/3684/719/713/712/2/716/1604/5265/728/1675/1378/3426/721/629/720",32,7.42410147991543,"CFH/TFPI/SERPINE1/VWF/CR2/F3/CLU/PLAU/C4BPA/C4BPB/F13A1/ITGAX/SERPING1/VSIG4/C1R/ITGB2/C2/ITGAM/C3AR1/C1QB/C1QA/A2M/C1S/CD55/SERPINA1/C5AR1/CFD/CR1/CFI/C4B/CFB/C4A"
"hsa04061","Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","32/440","100/8779",5.11161479338643e-18,2.88295074346995e-16,2.1630201546751e-16,"6376/2920/3560/6367/6347/3587/1235/6364/8809/8807/729230/8743/1236/3559/4283/3561/3606/10563/3570/11009/1230/1524/3627/6373/2829/1237/1436/1233/4049/6351/6362/6358",32,6.38472727272727,"CX3CL1/CXCL2/IL2RB/CCL22/CCL2/IL10RA/CCR6/CCL20/IL18R1/IL18RAP/CCR2/TNFSF10/CCR7/IL2RA/CXCL9/IL2RG/IL18/CXCL13/IL6R/IL24/CCR1/CX3CR1/CXCL10/CXCL11/XCR1/CCR8/CSF1R/CCR4/LTA/CCL4/CCL18/CCL14"
"hsa05323","Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","29/440","93/8779",4.26679220898383e-16,2.0053923382224e-14,1.5046056736943e-14,"3683/2920/3383/54/50617/6347/3458/942/6364/941/1514/7099/7097/3606/284/3689/1493/3600/940/3123/4312/3117/3111/3108/3122/3115/3113/3112/3109",29,6.22167644183773,"ITGAL/CXCL2/ICAM1/ACP5/ATP6V0A4/CCL2/IFNG/CD86/CCL20/CD80/CTSL/TLR4/TLR2/IL18/ANGPT1/ITGB2/CTLA4/IL15/CD28/HLA-DRB1/MMP1/HLA-DQA1/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DOB/HLA-DMB"
"hsa04514","Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecules","36/440","157/8779",5.68274135852157e-15,2.28933294729012e-13,1.71764062114712e-13,"3683/920/933/3385/8516/5788/3383/959/6404/942/914/29126/941/10666/3689/7412/9076/1493/29851/9075/3684/940/201633/6402/3123/3117/6693/80380/3111/3108/3122/3115/3113/3106/3112/3109",36,4.57504342790967,"ITGAL/CD4/CD22/ICAM3/ITGA8/PTPRC/ICAM1/CD40LG/SELPLG/CD86/CD2/CD274/CD80/CD226/ITGB2/VCAM1/CLDN1/CTLA4/ICOS/CLDN2/ITGAM/CD28/TIGIT/SELL/HLA-DRB1/HLA-DQA1/SPN/PDCD1LG2/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-B/HLA-DOB/HLA-DMB"
"hsa04145","Cellular Processes","Transport and catabolism","hsa04145","Phagosome","35/440","152/8779",1.20247312770609e-14,4.23871777516396e-13,3.18022498248584e-13,"4481/2213/50617/4688/653509/1514/7099/7097/7057/2212/2209/653361/715/3689/1520/3673/1536/6890/3684/64581/4973/10333/7058/3123/3117/2214/3111/3108/3122/3115/3113/3106/3112/3109/4360",35,4.59427332535885,"MSR1/FCGR2B/ATP6V0A4/NCF2/SFTPA1/CTSL/TLR4/TLR2/THBS1/FCGR2A/FCGR1A/NCF1/C1R/ITGB2/CTSS/ITGA2/CYBB/TAP1/ITGAM/CLEC7A/OLR1/TLR6/THBS2/HLA-DRB1/HLA-DQA1/FCGR3A/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-B/HLA-DOB/HLA-DMB/MRC1"
"hsa05330","Human Diseases","Immune disease","hsa05330","Allograft rejection","18/440","38/8779",3.75949345908058e-14,1.17797461717858e-12,8.83810743011925e-13,"355/3002/959/3458/942/356/941/940/3123/3117/3111/3108/3122/3115/3113/3106/3112/3109",18,9.45107655502392,"FAS/GZMB/CD40LG/IFNG/CD86/FASLG/CD80/CD28/HLA-DRB1/HLA-DQA1/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-B/HLA-DOB/HLA-DMB"
"hsa05332","Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","18/440","42/8779",3.28567085246911e-13,9.26559180396288e-12,6.95178780364516e-12,"355/3002/3458/942/356/941/3824/940/3123/3117/3111/3108/3122/3115/3113/3106/3112/3109",18,8.55097402597402,"FAS/GZMB/IFNG/CD86/FASLG/CD80/KLRD1/CD28/HLA-DRB1/HLA-DQA1/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-B/HLA-DOB/HLA-DMB"
