"","Metabolites","pvalue","FDR","FC","log2FC","lipid_class"
"1","AcCa(10:0)",0.192651088472979,0.379912375832934,1.10054151690788,0.138213570588245,"AcCa"
"2","AcCa(14:0)",0.0288494419047735,0.16147224392674,1.20422319342333,0.268102809209784,"AcCa"
"3","AcCa(14:2)",0.0325306577775666,0.165244226232949,1.33316770244794,0.414858272003795,"AcCa"
"4","AcCa(16:0)",0.0424891332622525,0.192037499941204,1.30550643867494,0.384609572948722,"AcCa"
"5","AcCa(18:0)",0.324443710575113,0.529064459858281,1.37987780184625,0.464540511585856,"AcCa"
"6","AcCa(20:0)",0.851211763887125,0.896505600864605,1.43034612986566,0.516364307434228,"AcCa"
"7","AcCa(20:4)",0.199841232406992,0.387529957437884,1.30966462700249,0.389197420232213,"AcCa"
"8","AcCa(20:5)",0.00107593917476756,0.0377830474658009,1.90881109502098,0.932674333877768,"AcCa"
"9","AcCa(22:0)",0.886130193971091,0.921446977064141,1.20160217941236,0.264959334663019,"AcCa"
"10","AcCa(22:1)",0.0584483872169723,0.209686221542602,1.34106263565359,0.423376621311378,"AcCa"
"11","AcCa(22:2)",0.00790416190871508,0.0872497872231242,1.56415692777053,0.64538526172387,"AcCa"
"12","AcCa(22:4)",0.740689137817147,0.822529061224249,1.30578780317691,0.384920471021214,"AcCa"
"13","AcCa(24:0)",0.160095900506293,0.35702476013835,1.0728264375788,0.101416695015227,"AcCa"
"14","AcCa(24:1)",0.321105196255457,0.528121440259691,1.27391276824445,0.349266491778029,"AcCa"
"15","AcCa(24:2)",0.0914423198774156,0.263758249294656,1.75295775754991,0.809791230719498,"AcCa"
"16","Cer(d28:0)",0.30155649354725,0.501720079119193,0.934125475833696,-0.0983117428062218,"Cer"
"17","Cer(d12:0_18:0+O)",0.239473632014316,0.43042635321734,0.916433934304973,-0.12589721421609,"Cer"
"18","Cer(d32:0)",0.710158145608776,0.814581595023393,0.953045516475062,-0.0693829774732937,"Cer"
"19","Cer(d18:2_16:0+O)",0.634421962116296,0.760010846623948,0.518436342660618,-0.947761239437837,"Cer"
"20","Cer(d36:0)",0.184687383454608,0.37601507281921,0.787314652917514,-0.344987766040677,"Cer"
"21","Cer(d38:1)",0.251952160383599,0.446359691543784,0.797009235049187,-0.327331653880555,"Cer"
"22","Cer(d38:2)",0.0767902827893943,0.239552295223437,0.748825411332381,-0.417298701390777,"Cer"
"23","Cer(d18:0_22:0)",0.00387810518377608,0.0689323707373282,0.589526560451916,-0.762371281225924,"Cer"
"24","Cer(d18:1_22:0+O)",0.415130710186891,0.604792250468788,0.905505927414137,-0.143204009843348,"Cer"
"25","Cer(d16:1_24:1)",0.0941106625157607,0.268753832258939,0.612473355335909,-0.707281011524604,"Cer"
"26","Cer(d18:2_24:0+O)",0.0483522934121232,0.205642358161113,1.16396408749353,0.219046546567281,"Cer"
"27","Cer(d42:4)",0.436919392978389,0.625199109381124,0.877000238149977,-0.189350860452538,"Cer"
"28","Cer(d44:2)",0.117584071493878,0.298642730254364,0.682023546581942,-0.552106546326212,"Cer"
"29","Cer(m18:0_16:0)",0.694980099793756,0.804275230428222,1.02727493401529,0.0388223480218993,"Cer"
"30","Cer(m34:1)",0.0575462091991936,0.209686221542602,0.85514743159293,-0.225754925775635,"Cer"
"31","Cer(m18:1_18:0)",0.344938542475835,0.545440009314405,1.11277493735525,0.154161832037655,"Cer"
"32","Cer(m18:0_20:0)",0.222225575243309,0.410152669420126,1.04660641631271,0.06571900866124,"Cer"
"33","Cer(m18:1_20:0)",0.459372819731425,0.636511950691986,1.07679275922704,0.106740613851386,"Cer"
"34","Cer(m38:1)",0.559828136092874,0.7189358271874,1.1540672796925,0.206727332518362,"Cer"
"35","Cer(m18:0_22:0)",0.611434609258236,0.751527763842029,1.02221372569852,0.0316968682608246,"Cer"
"36","Cer(m18:0_24:0)",0.921235388852753,0.944266273574072,0.925745980551559,-0.111311714439604,"Cer"
"37","Cer(m18:1_24:0)",0.707612720562348,0.813967337881338,0.941192181408797,-0.0874387589082437,"Cer"
"38","Cer(m42:1)",0.478204270753054,0.650448463062211,1.20304540493796,0.266691093256026,"Cer"
"39","Cer(m42:2)",0.241906706322991,0.43042635321734,1.30615933322606,0.385330896297892,"Cer"
"40","Cer(t34:0)",0.373518652875116,0.567194991402954,0.94072636860982,-0.0881529511656983,"Cer"
"41","Cer(t18:1_20:0)",0.0801660108238823,0.247388518794824,0.685469821568697,-0.544834943443874,"Cer"
"42","Cer(t16:1_24:1)",0.137966265232418,0.327394691950444,1.08239847452935,0.114231711176448,"Cer"
"43","Cer(t18:1_24:0)",0.497451252735055,0.667142567920377,1.14854192831361,0.199803524252623,"Cer"
"44","Cer(t18:1_24:0+O)",0.546114095130851,0.709206992319249,0.837223648798299,-0.256315031356134,"Cer"
"45","Cer(t18:1_24:1)",0.0527653738622931,0.208878100668664,1.07026197607615,0.0979639791732353,"Cer"
"46","Cer(t18:1_24:2)",0.00203035723173082,0.0506859688072045,1.5184326683205,0.602582936668833,"Cer"
"47","ChE(16:1)",0.00470529677907883,0.0729956851673311,1.2906152739148,0.368059004413721,"ChE"
"48","DG(8:0_10:0)",0.4289180265443,0.621483011892809,0.923616519656285,-0.114634117733473,"DG"
"49","DG(12:0_12:0)",0.0814571952129299,0.247388518794824,0.915678693290127,-0.127086641669512,"DG"
"50","DG(26:2e)",0.00685529429274899,0.0819778942507901,0.783920154724331,-0.351221377089532,"DG"
"51","DG(28:2e)",0.583045516959996,0.737154464174092,0.896722232606604,-0.157266927691438,"DG"
"52","DG(16:0_18:2)",0.0702043543194949,0.227721339390122,1.37991633170693,0.464580794908626,"DG"
"53","DG(18:0_18:0)",0.0319830148489082,0.165244226232949,0.815084504459808,-0.294978455365598,"DG"
"54","DG(36:1e)",0.415136144050004,0.604792250468788,0.805905599957215,-0.311317236840862,"DG"
"55","DG(18:0_18:2)",0.115993648748887,0.297233724919023,1.23255392654259,0.301650768593938,"DG"
"56","DG(18:1_18:2)",0.0165330183926383,0.112975625683028,1.23611733352878,0.305815691839296,"DG"
"57","DG(18:2_18:2)",0.0164185483345353,0.112975625683028,1.15194197458673,0.204068047436195,"DG"
"58","DG(38:0e)",0.193922204798182,0.379912375832934,0.647241331123266,-0.627624357479979,"DG"
"59","DG(20:0_18:1)",0.051031497867589,0.20774524663827,0.670308218819701,-0.577103471683105,"DG"
"60","DG(40:3e)",0.193922204798182,0.379912375832934,0.655185216841868,-0.610025289540819,"DG"
"61","DG(18:0_22:5)",0.00593122829819827,0.0779610564340039,0.545894041157556,-0.873307145814322,"DG"
"62","DG(18:0_22:6)",0.201041218942896,0.388544308664049,0.997987904682608,-0.00290576425484938,"DG"
"63","DG(40:6e)",0.178050380462612,0.372996052501968,0.883138907726558,-0.179287719610473,"DG"
"64","DG(40:7e)",0.18248457673841,0.37543421880949,0.783002744762327,-0.352910730093834,"DG"
"65","DG(42:4e)",0.592440134074004,0.739262254257561,0.78409639027532,-0.350897076740379,"DG"
"66","FA(20:4)",0.163137247636792,0.35702476013835,1.19875402639038,0.261535660994123,"FA"
"67","LPC(16:2e)",0.0863422284447066,0.254156098088521,1.23611714718335,0.305815474352134,"LPC"
"68","LPC(18:2e)",0.0162278420920942,0.112975625683028,1.1746821831907,0.232270480402456,"LPC"
"69","LPC(20:0)",0.111323681081983,0.295815911686675,1.16168009538755,0.216212832649769,"LPC"
"70","LPC(20:0e)",0.0245538191002833,0.148356759616449,2.47401656474007,1.3068551598892,"LPC"
"71","LPC(20:3)",0.00355475652239497,0.0689323707373282,1.2164413778432,0.282666796287245,"LPC"
"72","LPC(20:3e)",0.714333928809376,0.814581595023393,1.15089756523943,0.20275943321166,"LPC"
"73","LPC(22:1)",0.167316481667624,0.35702476013835,1.06551269547717,0.0915477827901064,"LPC"
"74","LPC(22:3)",0.036872709825763,0.174916821818082,0.479055679692531,-1.06173474759421,"LPC"
"75","LPE(18:0e)",0.334187098559251,0.533485156165274,1.28473677801049,0.361472804587625,"LPE"
"76","LPE(18:2e)",0.0621761247449395,0.213707159302966,1.17651118156813,0.234515032008218,"LPE"
"77","LPE(20:0)",0.0549095981534665,0.209255950805668,1.10487748970899,0.143886410532732,"LPE"
"78","LPE(20:1e)",0.16724722521535,0.35702476013835,1.73242112926448,0.792789673280756,"LPE"
"79","LPE(22:0)",0.0584344458131172,0.209686221542602,1.24989483597103,0.321806714082874,"LPE"
"80","LPE(22:3)",0.355906084801054,0.553631687468306,0.509347406560929,-0.97327809524965,"LPE"
"81","LPE(24:1)",0.090690870484148,0.262911917464146,1.19261635477349,0.254130026202099,"LPE"
"82","LPG(18:2)",0.000642555180578264,0.0329411989552636,1.5758449359381,0.656125579743929,"LPG"
"83","LPG(20:4)",0.442989701431909,0.627842194128187,1.02236354781026,0.0319083032804823,"LPG"
"84","LPG(22:4)",0.331184003087277,0.533485156165274,1.08060188350653,0.111835101720923,"LPG"
"85","LPG(22:6)",0.122447264463113,0.305612952428127,1.57974189685458,0.659688865652198,"LPG"
"86","LPI(16:0)",0.679824337169355,0.796489468410365,1.11673016586073,0.159280631298012,"LPI"
"87","LPI(18:0)",0.720323665819177,0.815532034442801,0.949762841064884,-0.074360782216185,"LPI"
"88","LPS(18:0)",0.312629672135568,0.515659286798322,0.808336206628517,-0.306972625238284,"LPS"
"89","LSM(d18:1)",0.0217531427226383,0.134261332503165,1.46742803845756,0.553289756414739,"LSM"
"90","LSM(d22:0)",0.715239203707184,0.814581595023393,0.868653425137324,-0.203147408719545,"LSM"
"91","MG(20:3)",0.369869256871363,0.566146542517766,0.983038834246208,-0.0246796845597838,"MG"
"92","PA(18:0e)",0.0901553814986079,0.262686238478177,1.35808764074793,0.441576583259094,"PA"
"93","PC(18:0)",0.00318424063936099,0.0667505056933866,1.64591021629243,0.718885639500412,"PC"
"94","PC(24:3e)",0.191525241174816,0.379912375832934,1.14411120543475,0.194227286147745,"PC"
"95","PC(28:0)",0.16522929031499,0.35702476013835,1.30115261326013,0.379790186868042,"PC"
"96","PC(30:0)",0.883438489722581,0.920315232487771,0.982301011488529,-0.0257629102277277,"PC"
"97","PC(30:0e)",0.5193097807275,0.688415275144538,0.883613117456531,-0.178513258868443,"PC"
"98","PC(30:1e)",0.0660976213385587,0.220581596792632,0.688443582043386,-0.538589664552174,"PC"
"99","PC(30:3)",0.220938074766709,0.409091790051906,1.25707037267512,0.330065416240167,"PC"
"100","PC(32:0)",0.208343562855985,0.39338554302413,1.11039338891203,0.151070883500511,"PC"
"101","PC(32:0e)",0.282815418039842,0.476058797521611,1.07593645634978,0.105592876392603,"PC"
"102","PC(16:1e_16:0)",0.0269104480519956,0.158558982457097,0.674259236534189,-0.568624715117922,"PC"
"103","PC(32:1e)",0.0134381293099231,0.108640651040787,0.755550106031963,-0.404400660705972,"PC"
"104","PC(32:2e)",0.0814571952129299,0.247388518794824,0.681078363551944,-0.554107293414188,"PC"
"105","PC(32:3)",0.959211070648999,0.969343581958671,0.983580802559965,-0.0238845180682704,"PC"
"106","PC(34:0)",0.899609797810698,0.932086685818304,1.00704042046452,0.0101215912229389,"PC"
"107","PC(34:0e)",0.819302997025546,0.87575404151334,0.97818142147732,-0.0318260309447104,"PC"
"108","PC(34:1)",0.0115206940977639,0.104966324001849,0.931327017225262,-0.102640264063284,"PC"
"109","PC(34:1e)",0.0348129807512352,0.170791888471872,0.669817964240398,-0.578159025840357,"PC"
"110","PC(16:0e_18:2)",0.377193053655197,0.571263358306288,1.07761712240562,0.107844679273489,"PC"
"111","PC(34:2e)",0.484570110836637,0.656005104498593,0.738350551298112,-0.437622158623345,"PC"
"112","PC(16:1e_18:2)",0.532658929877263,0.696460650910135,0.812493830069342,-0.299571237381567,"PC"
"113","PC(34:3e)",0.578374409029468,0.736112884219323,0.852830931136145,-0.229668331054482,"PC"
"114","PC(34:4)",0.569085349107777,0.729140603544339,1.02334998145035,0.0332996251940003,"PC"
"115","PC(34:5e)",0.264802013574224,0.459827052775059,0.739347291794988,-0.435675897692258,"PC"
"116","PC(14:1e_20:4)",0.21081989599024,0.396756132125895,1.07105410832108,0.099031365087861,"PC"
"117","PC(16:0_20:1)",0.75635461734061,0.831700288033545,0.981477095661436,-0.0269734944004251,"PC"
