"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","metabs_mean","FoldEnrich","query"
"map00230","map00230","Purine metabolism","13/54","101/2402",1.56721397704172e-07,7.52262708980024e-06,5.60897633888614e-06,"C00147/C00020/C00002/C00575/C00360/C00330/C00286/C00144/C00262/C00130/C00294/C00086/C00655",13,1.01106584935125,5.72533920058672,"adenine/amp/atp/cyclic-amp/damp/deoxyguanosine/dgtp/gmp/hypoxanthine/imp/inosine/urea/xanthosine-5-phosphate"
"map00010","map00010","Glycolysis / Gluconeogenesis","6/54","31/2402",4.65265927783553e-05,0.00102977080924009,0.000767811568293047,"C00024/C00118/C00111/C05378/C00186/C00074",6,0.638534684983239,8.60931899641577,"acetyl-coa/d-glyceraldehdye-3-phosphate/dihydroxy-acetone-phosphate/fructose-1,6-bisphosphate/lactate/phosphoenolpyruvate"
"map00240","map00240","Pyrimidine metabolism","8/54","64/2402",6.43606755775054e-05,0.00102977080924009,0.000767811568293047,"C00475/C00380/C00239/C00364/C00365/C00086/C00299/C00075",8,1.31481298831662,5.56018518518519,"cytidine/cytosine/dcmp/dtmp/dump/urea/uridine/utp"
"map00260","map00260","Glycine, serine and threonine metabolism","6/54","48/2402",0.000577824630379691,0.0069338955645563,0.00517000985076566,"C00576/C02291/C00581/C00213/C00188/C00078",6,2.1087346112316,5.56018518518518,"betaine aldehyde/cystathionine/guanidoacetic acid/sarcosine/threonine/tryptophan"
"map00620","map00620","Pyruvate metabolism","4/54","32/2402",0.0051451560298451,0.049393497886513,0.0368284852662597,"C00024/C00227/C00186/C00074",4,0.720431272408331,5.56018518518519,"acetyl-coa/acetylphosphate/lactate/phosphoenolpyruvate"
"map00030","map00030","Pentose phosphate pathway","4/54","37/2402",0.00869661417978424,0.0695729134382739,0.0518745407215201,"C00345/C00279/C00118/C05378",4,0.511709531641021,4.80880880880881,"6-phospho-d-gluconate/d-erythrose-4-phosphate/d-glyceraldehdye-3-phosphate/fructose-1,6-bisphosphate"
"map00430","map00430","Taurine and hypotaurine metabolism","3/54","24/2402",0.0155696565538612,0.0955420022009194,0.0712374577813873,"C00024/C00227/C00041",3,0.913177365595993,5.56018518518518,"acetyl-coa/acetylphosphate/alanine"
"map00270","map00270","Cysteine and methionine metabolism","5/54","67/2402",0.015962018317413,0.0955420022009194,0.0712374577813873,"C00041/C02291/C00021/C00979/C00019",5,3.59627058986021,3.31951354339414,"alanine/cystathionine/s-adenosyl-l-homocysteine/o-acetyl-l-serine/s-adenosyl-l-methionine"
"map00052","map00052","Galactose metabolism","4/54","46/2402",0.0185137127020448,0.0955420022009194,0.0712374577813873,"C00118/C00111/C00085/C00446",4,0.569627073396217,3.86795491143317,"d-glyceraldehdye-3-phosphate/dihydroxy-acetone-phosphate/fructose-6-phosphate/glucose-1-phosphate"
"map00562","map00562","Inositol phosphate metabolism","4/54","47/2402",0.0199045837918582,0.0955420022009194,0.0712374577813873,"C00024/C00118/C00111/C00092",4,0.577843002961874,3.78565799842396,"acetyl-coa/d-glyceraldehdye-3-phosphate/dihydroxy-acetone-phosphate/glucose-6-phosphate"
"map00051","map00051","Fructose and mannose metabolism","4/54","55/2402",0.0333619024619537,0.124201992172022,0.0926067485493145,"C00118/C00111/C05378/C00186",4,0.62539320521392,3.23501683501684,"d-glyceraldehdye-3-phosphate/dihydroxy-acetone-phosphate/fructose-1,6-bisphosphate/lactate"
