"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","metabs_mean","FoldEnrich","query"
"map00230","map00230","Purine metabolism","17/68","101/2402",8.07006173679277e-10,4.19643210313224e-08,3.05812865815305e-08,"C00224/C00008/C00499/C04677/C00002/C00575/C00361/C00286/C00044/C00330/C01228/C00262/C00104/C00294/C00086/C00366/C00655",17,1.31453048507825,5.94554455445545,"adenosine 5-phosphosulfate/adp/allantoate/aminoimidazole carboxamide ribonucleotide/atp/cyclic-amp/dgdp/dgtp/gtp/deoxyguanosine/guanosine 5-diphosphate,3-diphosphate/hypoxanthine/idp/inosine/urea/uric acid/xanthosine-5-phosphate"
"map00020","map00020","Citrate cycle (TCA cycle)","7/68","20/2402",6.1788699155283e-07,1.60650617803736e-05,1.17073324715273e-05,"C00024/C00417/C00158/C00311/C00036/C00074/C00042",7,1.3196032015864,12.3632352941176,"acetyl-coa/aconitate/citrate/citrate-isocitrate/oxaloacetate/phosphoenolpyruvate/succinate"
"map00010","map00010","Glycolysis / Gluconeogenesis","8/68","31/2402",1.27798818142851e-06,2.21517951447609e-05,1.6143008607518e-05,"C00024/C00118/C00111/C05378/C00236/C00186/C00036/C00074",8,1.4990354786333,9.1157495256167,"acetyl-coa/d-glyceraldehdye-3-phosphate/dihydroxy-acetone-phosphate/fructose-1,6-bisphosphate/1,3-diphopshateglycerate/lactate/oxaloacetate/phosphoenolpyruvate"
"map00620","map00620","Pyruvate metabolism","7/68","32/2402",2.04716685338976e-05,0.000266131690940669,0.000193942122952714,"C02504/C00024/C00227/C00186/C00036/C00074/C00042",7,1.27851740112129,7.72702205882353,"2-isopropylmalic acid/acetyl-coa/acetylphosphate/lactate/oxaloacetate/phosphoenolpyruvate/succinate"
"map00190","map00190","Oxidative phosphorylation","5/68","16/2402",5.38034234641668e-05,0.000559555604027335,0.000407773314675791,"C00008/C00002/C00003/C00004/C00042",5,1.1049886597694,11.0386029411765,"adp/atp/nad+/nadh/succinate"
"map00052","map00052","Galactose metabolism","6/68","46/2402",0.00158086974851583,0.01365917787652,0.00995405675211982,"C00118/C00111/C00085/C00446/C00137/C00029",6,1.59578647602592,4.6074168797954,"d-glyceraldehdye-3-phosphate/dihydroxy-acetone-phosphate/fructose-6-phosphate/glucose-1-phosphate/myo-inositol/udp-d-glucose"
"map00630","map00630","Glyoxylate and dicarboxylate metabolism","7/68","64/2402",0.00183873548337769,0.01365917787652,0.00995405675211982,"C00024/C00417/C00158/C00311/C00111/C00036/C00042",7,1.28476649765245,3.86351102941176,"acetyl-coa/aconitate/citrate/citrate-isocitrate/dihydroxy-acetone-phosphate/oxaloacetate/succinate"
"map00400","map00400","Phenylalanine, tyrosine and tryptophan biosynthesis","5/68","35/2402",0.00263256218201694,0.0171116541831101,0.0124700313885013,"C00279/C01179/C00463/C00074/C00078",5,1.42876760172866,5.04621848739496,"d-erythrose-4-phosphate/hydroxyphenylpyruvate/indole/phosphoenolpyruvate/tryptophan"
"map00030","map00030","Pentose phosphate pathway","5/68","37/2402",0.00338328829750434,0.0195478879411362,0.0142454244105446,"C00345/C00279/C00257/C00118/C05378",5,1.84441629256086,4.77344992050874,"6-phospho-d-gluconate/d-erythrose-4-phosphate/d-gluconate/d-glyceraldehdye-3-phosphate/fructose-1,6-bisphosphate"
"map00640","map00640","Propanoate metabolism","5/68","41/2402",0.00532907346678362,0.0277111820272748,0.0201943836636011,"C00024/C00111/C00186/C02170/C00042",5,1.22804281012442,4.3077474892396,"acetyl-coa/dihydroxy-acetone-phosphate/lactate/methylmalonic acid/succinate"
