"","ENTREZID","SYMBOL"
"1","4222","MEOX1"
"2","8913","CACNA1G"
"3","5080","PAX6"
"4","6401","SELE"
"5","2326","FMO1"
"6","9172","MYOM2"
"7","8537","BCAS1"
"8","79570","NKAIN1"
"9","84502","JPH4"
"10","1299","COL9A3"
"11","5008","OSM"
"12","3957","LGALS2"
"13","164668","APOBEC3H"
"14","11255","HRH3"
"15","79444","BIRC7"
"16","57144","PAK5"
"17","959","CD40LG"
"18","56062","KLHL4"
"19","869","CBLN1"
"20","11024","LILRA1"
"21","10148","EBI3"
"22","56961","SHD"
"23","946","SIGLEC6"
"24","3780","KCNN1"
"25","253738","EBF3"
"26","443","ASPA"
"27","6355","CCL8"
"28","6442","SGCA"
"29","11199","ANXA10"
"30","56253","CRTAM"
"31","3458","IFNG"
"32","8876","VNN1"
"33","1235","CCR6"
"34","6364","CCL20"
"35","9173","IL1RL1"
"36","1380","CR2"
"37","356","FASLG"
"38","89866","SEC16B"
"39","111240474","CRYZL2P-SEC16B"
"40","57413","TMIGD3"
"41","725","C4BPB"
"42","140686","WFDC3"
"43","10870","HCST"
"44","6003","RGS13"
"45","29802","VPREB3"
"46","79948","PLPPR3"
"47","55908","ANGPTL8"
"48","10882","C1QL1"
"49","84824","FCRLA"
"50","10117","ENAM"
"51","8900","CCNA1"
"52","2949","GSTM5"
"53","4613","MYCN"
"54","23418","CRB1"
"55","3821","KLRC1"
"56","23017","FAIM2"
"57","100533111","ZNF670-ZNF695"
"58","9290","GPR55"
"59","80704","SLC19A3"
"60","5100","PCDH8"
"61","57471","ERMN"
"62","3586","IL10"
"63","2572","GAD2"
"64","9023","CH25H"
"65","59067","IL21"
"66","1950","EGF"
"67","196500","PIANP"
"68","1280","COL2A1"
"69","121643","FOXN4"
"70","8128","ST8SIA2"
"71","8547","FCN3"
"72","1745","DLX1"
"73","152404","IGSF11"
"74","201780","SLC10A4"
"75","285533","RNF175"
"76","84870","RSPO3"
"77","7712","ZNF157"
"78","56169","GSDMC"
"79","2206","MS4A2"
"80","64405","CDH22"
"81","161835","FSIP1"
"82","2838","GPR15"
"83","80201","HKDC1"
"84","911","CD1C"
"85","60680","CELF5"
"86","163747","CIMAP2"
"87","127943","FCRLB"
"88","11009","IL24"
"89","4760","NEUROD1"
"90","56203","LMOD3"
"91","1359","CPA3"
"92","79442","LRRC2"
"93","79012","CAMKV"
"94","221833","SP8"
"95","81501","DCSTAMP"
"96","474354","LRRC18"
"97","58157","NGB"
"98","112937","GLB1L3"
"99","55530","SVOP"
"100","1381","CRABP1"
"101","26253","CLEC4E"
"102","124872","B4GALNT2"
"103","2793","GNGT2"
"104","282763","OR51B5"
"105","10871","CD300C"
"106","5368","PNOC"
"107","11280","SCN11A"
"108","375704","ENHO"
"109","2848","GPR25"
"110","284076","TTLL6"
"111","8419","BFSP2"
"112","59350","RXFP1"
"113","4807","NHLH1"
"114","29942","PURG"
"115","2829","XCR1"
"116","7634","ZNF80"
"117","266743","NPAS4"
"118","685","BTC"
"119","2015","ADGRE1"
"120","171389","NLRP6"
"121","145270","PRIMA1"
"122","202309","GAPT"
"123","257101","ZNF683"
"124","150350","ENTHD1"
"125","284424","MIR7-3HG"
"126","100129540","LOC100129540"
"127","389336","C5orf46"
"128","124599","CD300LB"
"129","7681","MKRN3"
"130","144809","FAM216B"
"131","644997","PIK3CD-AS1"
"132","1237","CCR8"
"133","347088","ADGRD2"
"134","200150","PLD5"
"135","728175","LINC02363"
"136","390067","OR52H1"
"137","339221","ENPP7"
"138","64478","CSMD1"
"139","646892","SH2D7"
"140","8302","KLRC4"
"141","284186","TMEM105"
"142","339366","ADAMTSL5"
"143","55693","KDM4D"
"144","342510","CD300E"
"145","4674","NAP1L2"
"146","758","MPPED1"
"147","353514","LILRA5"
"148","388512","CLEC17A"
"149","123745","PLA2G4E"
"150","169355","IDO2"
"151","1269","CNR2"
"152","257313","UTS2B"
"153","400581","GRAPL"
"154","389558","FAM180A"
"155","400745","SH2D5"
"156","389376","SFTA2"
"157","2996","GYPE"
"158","400823","FAM177B"
"159","3004","GZMM"
"160","117157","SH2D1B"
"161","23237","ARC"
"162","134548","SOWAHA"
"163","101928716","SUGCT-AS1"
"164","5540","NPY4R"
"165","10665","TSBP1"
"166","3135","HLA-G"
"167","147920","IGFL2"
"168","645432","ARRDC5"
"169","3822","KLRC2"
"170","3823","KLRC3"
"171","93978","CLEC6A"
"172","645426","TMEM191C"
"173","28907","IGKV5-2"
"174","28906","IGKV6-21"
"175","28876","IGKV3D-11"
"176","28772","IGLV10-54"
"177","28776","IGLV7-43"
"178","28826","IGLV1-36"
"179","28791","IGLV3-27"
"180","28814","IGLV2-18"
"181","28804","IGLV3-9"
"182","28834","IGLC7"
"183","6977","TRGV4"
"184","6976","TRGV3"
"185","28567","TRBV20-1"
"186","28673","TRAV12-2"
"187","28481","IGHJ2"
"188","28445","IGHV3-20"
"189","28455","IGHV2-26"
"190","28464","IGHV1-58"
"191","128770","EIF4E2P1"
"192","644029","RPL7AP62"
"193","399942","TUBAP2"
"194","401562","LCNL1"
"195","730005","SEC14L6"
"196","401247","LINC00243"
"197","285780","LY86-AS1"
"198","100289319","KRT8P43"
"199","100130449","GPC1-AS1"
"200","56903","PAPOLB"
"201","100420214","LOC100420214"
"202","53822","FXYD7"
"203","3542","IGLC6"
"204","28773","IGLV9-49"
"205","105374219","LINC02068"
"206","378881","MIR381HG"
"207","100507257","MEG9"
"208","105373878","TNS1-AS1"
"209","110806285","LINC02561"
"210","100421324","GAPDHP55"
"211","100861514","ELMO1-AS1"
"212","285954","INHBA-AS1"
"213","100506457","MIR3681HG"
"214","3116","HLA-DPB2"
"215","100873917","LPP-AS1"
"216","127379729","KLHL25P1"
"217","339685","LOC339685"
"218","6163","RPL32P1"
"219","387494","RPL18AP2"
"220","107985190","LINC01779"
"221","207107","SFTA1P"
"222","101928233","LINC01671"
"223","28870","IGKV6D-21"
"224","112268293","TMA7B"
"225","100873245","MTND4P23"
"226","118421","LINC00161"
"227","4049","LTA"
"228","100271243","RPS2P36"
"229","102724009","KIF1C-AS1"
"230","100422411","PSMD8P1"
"231","107985688","LOC107985688"
"232","101927692","LOC101927692"
"233","285965","EPHA1-AS1"
"234","101927745","LOC101927745"
"235","105369302","LOC105369302"
"236","105373853","MYOSLID"
"237","100270940","RPL17P28"
"238","106481722","GPAA1P2"
"239","107984948","LOC107984948"
"240","105373869","LINC01614"
"241","101927686","LINC02541"
"242","100128899","RPL7L1P9"
"243","81270","OR52B5P"
"244","101928687","LNCAROD"
"245","105378305","LOC105378305"
"246","101927422","GNA14-AS1"
"247","104355297","ABCA9-AS1"
"248","100873949","IPO9-AS1"
"249","100420200","RPL7L1P12"
"250","100874399","IMPDH1P10"
"251","101928304","LINC03002"
"252","100874206","OSBPL10-AS1"
"253","101927687","LOC101927687"
"254","7124","TNF"
"255","6974","TRGV2"
"256","100506385","LINC01426"
"257","345643","MCIDAS"
"258","100129017","RPL24P5"
"259","101927661","LOC101927661"
"260","100653489","MTND4P14"
"261","342618","SLFN14"
"262","101928333","GRM8-AS1"
"263","101929532","LOC101929532"
"264","28478","IGHJ3P"
"265","150051","TIAM1-AS1"
"266","101929010","SIRPG-AS1"
"267","100885796","SLC9A9-AS1"
"268","106480488","RN7SL116P"
"269","23495","TNFRSF13B"
"270","28942","IGKV1-8"
"271","106481837","RN7SL328P"
"272","28901","IGKV1D-16"
"273","100270834","RPL5P13"
"274","100874019","KLHL6-AS1"
"275","100271105","RPS26P21"
"276","106481148","RN7SL834P"
"277","100419069","ENO1P3"
"278","100420028","HSPA8P4"
"279","286189","C8orf34-AS1"
"280","125775243","PELO-AS1"
"281","101929109","LOC101929109"
"282","101926904","LINC01265"
"283","101927780","LINC01303"
"284","28878","IGKV2D-40"
"285","646890","AIDAP2"
"286","106481383","RNU6-638P"
"287","107057644","RN7SKP70"
"288","100421357","HNRNPA3P7"
"289","100127983","C8orf88"
"290","101929450","LINC02099"
"291","3499","IGHEP2"
"292","100129933","GLYATL1P2"
"293","105375743","LOC105375743"
"294","105369723","LINC02422"
"295","105369725","LOC105369725"
"296","101927901","LINC02421"
"297","101060038","LINC02446"
"298","123466205","LINC02954"
"299","147660","ZNF578"
"300","100419930","CENPUP2"
"301","283587","HISLA"
"302","100132612","LINC02312"
"303","102724380","LINC02316"
"304","100128939","LOC100128939"
"305","128266842","SMAD3-AS1"
"306","101928988","LOC101928988"
"307","100131315","GREM1-AS1"
"308","101926895","CRTC3-AS1"
"309","105371251","CYLD-AS2"
"310","644242","LINC00622"
"311","105371401","LOC105371401"
"312","102724907","CYLD-AS1"
"313","100996758","NPY4R2"
