"","ENTREZID","SYMBOL"
"1","340273","ABCB5"
"2","695","BTK"
"3","81551","STMN4"
"4","92745","SLC38A5"
"5","5874","RAB27B"
"6","6098","ROS1"
"7","608","TNFRSF17"
"8","3604","TNFRSF9"
"9","55040","EPN3"
"10","55359","STYK1"
"11","10077","TSPAN32"
"12","1117","CHI3L2"
"13","4129","MAOB"
"14","27071","DAPP1"
"15","2213","FCGR2B"
"16","5743","PTGS2"
"17","6620","SNCB"
"18","7294","TXK"
"19","2329","FMO4"
"20","8530","CST7"
"21","1906","EDN1"
"22","9452","ITM2A"
"23","11262","SP140"
"24","2920","CXCL2"
"25","5243","ABCB1"
"26","1071","CETP"
"27","57091","CASS4"
"28","58484","NLRC4"
"29","54209","TREM2"
"30","3594","IL12RB1"
"31","1943","EFNA2"
"32","9402","GRAP2"
"33","4689","NCF4"
"34","93144","RPS10P5"
"35","140711","TLDC2"
"36","51311","TLR8"
"37","91851","CHRDL1"
"38","5157","PDGFRL"
"39","8797","TNFRSF10A"
"40","10859","LILRB1"
"41","973","CD79A"
"42","4818","NKG7"
"43","1311","COMP"
"44","6424","SFRP4"
"45","26157","GIMAP2"
"46","5730","PTGDS"
"47","5023","P2RX1"
"48","6347","CCL2"
"49","116449","CLNK"
"50","683","BST1"
"51","9976","CLEC2B"
"52","51411","BIN2"
"53","6489","ST8SIA1"
"54","3702","ITK"
"55","942","CD86"
"56","79825","EFCC1"
"57","10578","GNLY"
"58","8809","IL18R1"
"59","8942","KYNU"
"60","914","CD2"
"61","962","CD48"
"62","7292","TNFSF4"
"63","4033","IRAG2"
"64","9465","AKAP7"
"65","10981","RAB32"
"66","80177","MYCT1"
"67","941","CD80"
"68","729230","CCR2"
"69","54900","LAX1"
"70","100505741","SPATA1"
"71","1959","EGR2"
"72","84329","HVCN1"
"73","5153","PDE1B"
"74","722","C4BPA"
"75","128611","ZNF831"
"76","81030","ZBP1"
"77","54210","TREM1"
"78","51299","NRN1"
"79","5858","PZP"
"80","2791","GNG11"
"81","3976","LIF"
"82","27180","SIGLEC9"
"83","11035","RIPK3"
