"","GeneID","Cluster"
"1","ENSG00000129824","cluster1"
"2","ENSG00000067646","cluster1"
"3","ENSG00000176728","cluster1"
"4","ENSG00000165246","cluster1"
"5","ENSG00000241859","cluster1"
"6","ENSG00000224271","cluster1"
"7","ENSG00000137968","cluster1"
"8","ENSG00000196074","cluster1"
"9","ENSG00000125462","cluster1"
"10","ENSG00000206195","cluster1"
"11","ENSG00000225210","cluster1"
"12","ENSG00000101115","cluster1"
"13","ENSG00000113494","cluster1"
"14","ENSG00000181143","cluster1"
"15","ENSG00000033122","cluster1"
"16","ENSG00000196482","cluster1"
"17","ENSG00000215218","cluster1"
"18","ENSG00000282961","cluster1"
"19","ENSG00000253438","cluster1"
"20","ENSG00000254166","cluster1"
"21","ENSG00000283765","cluster1"
"22","ENSG00000164414","cluster1"
"23","ENSG00000159167","cluster1"
"24","ENSG00000128573","cluster1"
"25","ENSG00000139278","cluster1"
"26","ENSG00000071243","cluster1"
"27","ENSG00000126861","cluster1"
"28","ENSG00000115474","cluster1"
"29","ENSG00000121931","cluster1"
"30","ENSG00000089195","cluster1"
"31","ENSG00000197498","cluster1"
"32","ENSG00000075188","cluster1"
"33","ENSG00000178741","cluster1"
"34","ENSG00000180964","cluster1"
"35","ENSG00000125870","cluster1"
"36","ENSG00000139343","cluster1"
"37","ENSG00000226121","cluster1"
"38","ENSG00000165675","cluster1"
"39","ENSG00000055147","cluster1"
"40","ENSG00000151065","cluster1"
"41","ENSG00000188243","cluster1"
"42","ENSG00000165591","cluster1"
"43","ENSG00000083937","cluster1"
"44","ENSG00000122644","cluster1"
"45","ENSG00000145781","cluster1"
"46","ENSG00000182700","cluster1"
"47","ENSG00000120306","cluster1"
"48","ENSG00000113790","cluster1"
"49","ENSG00000114023","cluster1"
"50","ENSG00000281183","cluster1"
"51","ENSG00000233184","cluster1"
"52","ENSG00000164172","cluster1"
"53","ENSG00000046647","cluster1"
"54","ENSG00000107960","cluster1"
"55","ENSG00000165660","cluster1"
"56","ENSG00000196072","cluster1"
"57","ENSG00000105829","cluster1"
"58","ENSG00000279078","cluster1"
"59","ENSG00000165030","cluster1"
"60","ENSG00000265354","cluster1"
"61","ENSG00000168876","cluster1"
"62","ENSG00000132623","cluster1"
"63","ENSG00000172172","cluster1"
"64","ENSG00000286075","cluster1"
"65","ENSG00000276023","cluster1"
"66","ENSG00000184349","cluster1"
"67","ENSG00000178053","cluster1"
"68","ENSG00000124279","cluster1"
"69","ENSG00000042317","cluster1"
"70","ENSG00000144061","cluster1"
"71","ENSG00000118690","cluster1"
"72","ENSG00000112796","cluster1"
"73","ENSG00000168939","cluster1"
"74","ENSG00000153234","cluster1"
"75","ENSG00000164687","cluster1"
"76","ENSG00000054277","cluster1"
"77","ENSG00000279530","cluster1"
"78","ENSG00000164603","cluster1"
"79","ENSG00000142556","cluster1"
"80","ENSG00000146757","cluster1"
"81","ENSG00000170899","cluster1"
"82","ENSG00000156239","cluster1"
"83","ENSG00000114784","cluster1"
"84","ENSG00000180346","cluster1"
"85","ENSG00000180881","cluster1"
"86","ENSG00000137338","cluster1"
"87","ENSG00000034533","cluster1"
"88","ENSG00000125351","cluster1"
"89","ENSG00000118655","cluster1"
"90","ENSG00000115998","cluster1"
"91","ENSG00000100601","cluster1"
"92","ENSG00000129696","cluster1"
"93","ENSG00000149548","cluster1"
"94","ENSG00000181264","cluster1"
"95","ENSG00000185261","cluster1"
"96","ENSG00000162994","cluster1"
"97","ENSG00000135698","cluster1"
"98","ENSG00000271147","cluster1"
"99","ENSG00000177694","cluster1"
"100","ENSG00000164241","cluster1"
"101","ENSG00000156298","cluster1"
"102","ENSG00000084764","cluster1"
"103","ENSG00000267169","cluster1"
"104","ENSG00000283103","cluster1"
"105","ENSG00000184792","cluster1"
"106","ENSG00000167065","cluster1"
"107","ENSG00000115526","cluster1"
"108","ENSG00000179899","cluster1"
"109","ENSG00000136895","cluster1"
"110","ENSG00000221923","cluster1"
"111","ENSG00000270011","cluster1"
"112","ENSG00000131849","cluster1"
"113","ENSG00000205930","cluster1"
"114","ENSG00000237940","cluster1"
"115","ENSG00000170089","cluster1"
"116","ENSG00000246596","cluster1"
"117","ENSG00000072401","cluster1"
"118","ENSG00000165630","cluster1"
"119","ENSG00000241058","cluster1"
"120","ENSG00000175395","cluster1"
"121","ENSG00000164346","cluster1"
"122","ENSG00000032742","cluster1"
"123","ENSG00000180329","cluster1"
"124","ENSG00000117133","cluster1"
"125","ENSG00000162642","cluster1"
"126","ENSG00000147118","cluster1"
"127","ENSG00000188739","cluster1"
"128","ENSG00000147687","cluster1"
"129","ENSG00000147654","cluster1"
"130","ENSG00000182552","cluster1"
"131","ENSG00000170191","cluster1"
"132","ENSG00000000419","cluster1"
"133","ENSG00000186104","cluster1"
"134","ENSG00000226688","cluster1"
"135","ENSG00000164331","cluster1"
"136","ENSG00000196605","cluster1"
"137","ENSG00000247572","cluster1"
"138","ENSG00000272374","cluster1"
"139","ENSG00000182185","cluster1"
"140","ENSG00000133983","cluster1"
"141","ENSG00000119650","cluster1"
"142","ENSG00000119703","cluster1"
"143","ENSG00000106524","cluster1"
"144","ENSG00000215712","cluster1"
"145","ENSG00000029639","cluster1"
"146","ENSG00000214300","cluster1"
"147","ENSG00000189190","cluster1"
"148","ENSG00000256683","cluster1"
"149","ENSG00000214967","cluster1"
"150","ENSG00000174628","cluster1"
"151","ENSG00000062370","cluster1"
"152","ENSG00000206567","cluster1"
"153","ENSG00000134825","cluster1"
"154","ENSG00000168002","cluster1"
"155","ENSG00000150433","cluster1"
"156","ENSG00000150316","cluster1"
"157","ENSG00000181472","cluster1"
"158","ENSG00000186625","cluster1"
"159","ENSG00000284879","cluster1"
"160","ENSG00000148688","cluster1"
"161","ENSG00000143156","cluster1"
"162","ENSG00000075336","cluster1"
"163","ENSG00000169379","cluster1"
"164","ENSG00000149089","cluster1"
"165","ENSG00000184983","cluster1"
"166","ENSG00000196449","cluster1"
"167","ENSG00000127337","cluster1"
"168","ENSG00000106399","cluster1"
"169","ENSG00000140006","cluster1"
"170","ENSG00000274615","cluster1"
"171","ENSG00000104356","cluster1"
"172","ENSG00000235859","cluster1"
"173","ENSG00000070759","cluster1"
"174","ENSG00000127720","cluster1"
"175","ENSG00000138785","cluster1"
"176","ENSG00000162757","cluster1"
"177","ENSG00000166529","cluster1"
"178","ENSG00000100802","cluster1"
"179","ENSG00000164002","cluster1"
"180","ENSG00000198711","cluster1"
"181","ENSG00000120647","cluster1"
"182","ENSG00000196812","cluster1"
"183","ENSG00000165501","cluster1"
"184","ENSG00000100483","cluster1"
"185","ENSG00000181751","cluster1"
"186","ENSG00000220323","cluster1"
"187","ENSG00000109576","cluster1"
"188","ENSG00000288558","cluster1"
"189","ENSG00000143222","cluster1"
"190","ENSG00000143553","cluster1"
"191","ENSG00000141026","cluster1"
"192","ENSG00000006695","cluster1"
"193","ENSG00000163512","cluster1"
"194","ENSG00000144559","cluster1"
"195","ENSG00000171135","cluster1"
"196","ENSG00000154781","cluster1"
"197","ENSG00000131373","cluster1"
"198","ENSG00000126756","cluster1"
"199","ENSG00000144736","cluster1"
"200","ENSG00000144741","cluster1"
"201","ENSG00000169981","cluster1"
"202","ENSG00000232112","cluster1"
"203","ENSG00000093217","cluster1"
"204","ENSG00000103671","cluster1"
"205","ENSG00000140259","cluster1"
"206","ENSG00000259494","cluster1"
"207","ENSG00000174456","cluster1"
"208","ENSG00000109083","cluster1"
"209","ENSG00000140830","cluster1"
"210","ENSG00000183765","cluster1"
"211","ENSG00000237094","cluster1"
"212","ENSG00000047579","cluster1"
"213","ENSG00000112149","cluster1"
"214","ENSG00000174021","cluster1"
"215","ENSG00000091127","cluster1"
"216","ENSG00000155438","cluster1"
"217","ENSG00000213553","cluster1"
"218","ENSG00000263266","cluster1"
"219","ENSG00000220842","cluster1"
"220","ENSG00000124562","cluster1"
"221","ENSG00000204392","cluster1"
"222","ENSG00000004779","cluster1"
"223","ENSG00000124688","cluster1"
"224","ENSG00000109519","cluster1"
"225","ENSG00000213780","cluster1"
"226","ENSG00000146066","cluster1"
"227","ENSG00000177556","cluster1"
"228","ENSG00000130021","cluster1"
"229","ENSG00000241549","cluster1"
"230","ENSG00000163312","cluster1"
"231","ENSG00000173085","cluster1"
"232","ENSG00000171503","cluster1"
"233","ENSG00000164169","cluster1"
"234","ENSG00000059691","cluster1"
"235","ENSG00000109220","cluster1"
"236","ENSG00000111850","cluster1"
"237","ENSG00000226200","cluster1"
"238","ENSG00000178440","cluster1"
"239","ENSG00000138036","cluster1"
"240","ENSG00000162927","cluster1"
"241","ENSG00000115137","cluster1"
"242","ENSG00000172456","cluster1"
"243","ENSG00000088876","cluster1"
"244","ENSG00000272150","cluster1"
"245","ENSG00000117614","cluster1"
"246","ENSG00000081721","cluster1"
"247","ENSG00000277149","cluster1"
"248","ENSG00000138617","cluster1"
"249","ENSG00000166477","cluster1"
"250","ENSG00000169371","cluster1"
"251","ENSG00000205571","cluster1"
"252","ENSG00000186300","cluster1"
"253","ENSG00000108387","cluster1"
"254","ENSG00000280739","cluster1"
"255","ENSG00000168026","cluster1"
"256","ENSG00000270344","cluster1"
"257","ENSG00000126790","cluster1"
"258","ENSG00000181619","cluster1"
"259","ENSG00000100490","cluster1"
"260","ENSG00000169239","cluster1"
"261","ENSG00000135537","cluster1"
"262","ENSG00000103852","cluster1"
"263","ENSG00000204172","cluster1"
"264","ENSG00000251079","cluster1"
"265","ENSG00000183793","cluster1"
"266","ENSG00000153975","cluster1"
"267","ENSG00000136122","cluster1"
"268","ENSG00000150787","cluster1"
"269","ENSG00000188451","cluster1"
"270","ENSG00000228409","cluster1"
"271","ENSG00000151500","cluster1"
"272","ENSG00000139168","cluster1"
"273","ENSG00000254598","cluster1"
"274","ENSG00000197050","cluster1"
"275","ENSG00000159915","cluster1"
"276","ENSG00000225891","cluster1"
"277","ENSG00000251595","cluster1"
"278","ENSG00000109775","cluster1"
"279","ENSG00000146476","cluster1"
"280","ENSG00000034693","cluster1"
"281","ENSG00000152359","cluster1"
"282","ENSG00000155636","cluster1"
"283","ENSG00000064652","cluster1"
"284","ENSG00000123595","cluster1"
"285","ENSG00000136932","cluster1"
"286","ENSG00000170860","cluster1"
"287","ENSG00000173915","cluster1"
"288","ENSG00000094841","cluster1"
"289","ENSG00000256436","cluster1"
"290","ENSG00000173409","cluster1"
"291","ENSG00000013392","cluster1"
"292","ENSG00000151743","cluster1"
"293","ENSG00000241127","cluster1"
"294","ENSG00000227638","cluster1"
"295","ENSG00000281332","cluster1"
"296","ENSG00000083817","cluster1"
"297","ENSG00000183891","cluster1"
"298","ENSG00000159882","cluster1"
"299","ENSG00000204920","cluster1"
"300","ENSG00000188985","cluster1"
"301","ENSG00000178458","cluster1"
"302","ENSG00000185875","cluster1"
"303","ENSG00000204147","cluster1"
"304","ENSG00000267216","cluster1"
"305","ENSG00000222011","cluster1"
"306","ENSG00000166997","cluster1"
"307","ENSG00000267632","cluster1"
"308","ENSG00000268573","cluster1"
"309","ENSG00000202058","cluster1"
"310","ENSG00000155868","cluster1"
"311","ENSG00000131730","cluster1"
"312","ENSG00000138495","cluster1"
"313","ENSG00000178307","cluster1"
"314","ENSG00000246477","cluster1"
"315","ENSG00000249898","cluster1"
"316","ENSG00000249690","cluster1"
"317","ENSG00000268471","cluster1"
"318","ENSG00000288393","cluster1"
"319","ENSG00000180611","cluster1"
"320","ENSG00000272335","cluster1"
"321","ENSG00000164038","cluster1"
"322","ENSG00000196656","cluster1"
"323","ENSG00000119862","cluster1"
"324","ENSG00000126368","cluster1"
"325","ENSG00000280018","cluster1"
"326","ENSG00000280145","cluster1"
"327","ENSG00000278903","cluster1"
"328","ENSG00000274333","cluster1"
"329","ENSG00000277067","cluster1"
"330","ENSG00000276077","cluster1"
"331","ENSG00000275496","cluster1"
"332","ENSG00000099256","cluster1"
"333","ENSG00000217165","cluster1"
"334","ENSG00000280120","cluster1"
"335","ENSG00000187123","cluster1"
"336","ENSG00000273294","cluster1"
"337","ENSG00000259345","cluster1"
"338","ENSG00000242808","cluster1"
"339","ENSG00000280392","cluster1"
"340","ENSG00000228663","cluster1"
"341","ENSG00000189144","cluster1"
"342","ENSG00000286207","cluster1"
"343","ENSG00000096080","cluster1"
"344","ENSG00000170855","cluster1"
"345","ENSG00000219201","cluster1"
"346","ENSG00000196476","cluster1"
"347","ENSG00000256029","cluster1"
"348","ENSG00000287195","cluster1"
"349","ENSG00000279885","cluster1"
"350","ENSG00000260423","cluster1"
"351","ENSG00000214940","cluster1"
"352","ENSG00000152128","cluster1"
"353","ENSG00000230202","cluster1"
"354","ENSG00000228223","cluster1"
"355","ENSG00000134864","cluster1"
"356","ENSG00000179761","cluster1"
"357","ENSG00000151364","cluster1"
"358","ENSG00000184305","cluster1"
"359","ENSG00000206384","cluster1"
"360","ENSG00000154175","cluster1"
"361","ENSG00000248592","cluster1"
"362","ENSG00000120675","cluster1"
"363","ENSG00000175445","cluster1"
"364","ENSG00000144476","cluster1"
"365","ENSG00000143365","cluster1"
"366","ENSG00000139679","cluster1"
"367","ENSG00000174059","cluster1"
"368","ENSG00000145632","cluster1"
"369","ENSG00000124508","cluster1"
"370","ENSG00000092529","cluster1"
"371","ENSG00000142961","cluster1"
"372","ENSG00000131669","cluster1"
"373","ENSG00000140749","cluster1"
"374","ENSG00000185947","cluster1"
"375","ENSG00000072422","cluster1"
"376","ENSG00000145431","cluster1"
"377","ENSG00000104361","cluster1"
"378","ENSG00000233237","cluster1"
"379","ENSG00000115295","cluster1"
"380","ENSG00000162745","cluster1"
"381","ENSG00000069431","cluster1"
"382","ENSG00000064989","cluster1"
"383","ENSG00000008311","cluster1"
"384","ENSG00000046889","cluster1"
"385","ENSG00000134202","cluster1"
"386","ENSG00000151617","cluster1"
"387","ENSG00000185532","cluster1"
"388","ENSG00000172572","cluster1"
"389","ENSG00000079482","cluster1"
"390","ENSG00000171766","cluster1"
"391","ENSG00000147100","cluster1"
"392","ENSG00000154736","cluster1"
"393","ENSG00000117525","cluster1"
"394","ENSG00000153291","cluster1"
"395","ENSG00000163393","cluster1"
"396","ENSG00000165895","cluster1"
"397","ENSG00000123094","cluster1"
"398","ENSG00000136161","cluster1"
"399","ENSG00000122707","cluster1"
"400","ENSG00000213366","cluster1"
"401","ENSG00000144642","cluster1"
"402","ENSG00000256043","cluster1"
"403","ENSG00000164039","cluster1"
"404","ENSG00000255248","cluster1"
"405","ENSG00000118432","cluster1"
"406","ENSG00000165194","cluster1"
"407","ENSG00000135750","cluster1"
"408","ENSG00000115041","cluster1"
"409","ENSG00000147234","cluster1"
"410","ENSG00000119630","cluster1"
"411","ENSG00000102362","cluster1"
"412","ENSG00000196358","cluster1"
"413","ENSG00000086570","cluster1"
"414","ENSG00000143858","cluster1"
"415","ENSG00000154678","cluster1"
"416","ENSG00000148935","cluster1"
"417","ENSG00000005249","cluster1"
"418","ENSG00000088756","cluster1"
"419","ENSG00000151967","cluster1"
"420","ENSG00000144792","cluster1"
"421","ENSG00000240225","cluster1"
"422","ENSG00000156345","cluster1"
"423","ENSG00000229689","cluster1"
"424","ENSG00000227953","cluster1"
"425","ENSG00000212719","cluster1"
"426","ENSG00000139971","cluster1"
"427","ENSG00000133874","cluster1"
"428","ENSG00000196263","cluster1"
"429","ENSG00000215105","cluster1"
"430","ENSG00000155970","cluster1"
"431","ENSG00000100302","cluster1"
"432","ENSG00000165730","cluster1"
"433","ENSG00000206432","cluster1"
"434","ENSG00000231160","cluster1"
"435","ENSG00000170049","cluster1"
"436","ENSG00000105717","cluster1"
"437","ENSG00000162373","cluster1"
"438","ENSG00000284308","cluster1"
"439","ENSG00000228274","cluster1"
"440","ENSG00000286681","cluster1"
"441","ENSG00000284052","cluster1"
"442","ENSG00000233757","cluster1"
"443","ENSG00000152439","cluster1"
"444","ENSG00000132010","cluster1"
"445","ENSG00000257591","cluster1"
"446","ENSG00000149243","cluster1"
"447","ENSG00000205572","cluster1"
"448","ENSG00000172058","cluster1"
"449","ENSG00000267855","cluster1"
"450","ENSG00000166452","cluster1"
"451","ENSG00000125388","cluster1"
"452","ENSG00000249042","cluster1"
"453","ENSG00000152348","cluster1"
"454","ENSG00000226259","cluster1"
"455","ENSG00000188613","cluster1"
"456","ENSG00000261126","cluster1"
"457","ENSG00000267270","cluster1"
"458","ENSG00000231527","cluster1"
"459","ENSG00000269743","cluster1"
"460","ENSG00000158427","cluster1"
"461","ENSG00000269226","cluster1"
"462","ENSG00000231728","cluster1"
"463","ENSG00000092850","cluster1"
"464","ENSG00000004838","cluster1"
"465","ENSG00000172771","cluster1"
"466","ENSG00000185070","cluster1"
"467","ENSG00000241399","cluster1"
"468","ENSG00000226380","cluster1"
"469","ENSG00000115380","cluster1"
"470","ENSG00000005108","cluster1"
"471","ENSG00000198947","cluster1"
"472","ENSG00000113361","cluster1"
"473","ENSG00000118473","cluster1"
"474","ENSG00000184156","cluster1"
