"","log2fc","logCPM","LR","pvalue","ENSEMBL","SYMBOL","ENTREZID","is_sig","is_lipid","is_use"
"ENSG00000000003",-0.132449992086771,4.65667637301226,0.323246196472894,0.569663299584311,"ENSG00000000003","TSPAN6","7105",FALSE,FALSE,FALSE
"ENSG00000000419",-0.0285956750963711,3.79634169385857,0.0260282531473877,0.871831337843769,"ENSG00000000419","DPM1","8813",FALSE,FALSE,FALSE
"ENSG00000000938",-0.52227017073727,3.28460192205204,2.75847608835203,0.0967403489201545,"ENSG00000000938","FGR","2268",FALSE,FALSE,FALSE
"ENSG00000001036",-0.401981913195198,4.56398361749394,6.10826695337362,0.0134550999679989,"ENSG00000001036","FUCA2","2519",TRUE,FALSE,FALSE
"ENSG00000001084",-0.182574534006796,6.25695321446003,0.579970473285528,0.446323894693396,"ENSG00000001084","GCLC","2729",FALSE,FALSE,FALSE
"ENSG00000001460",-0.0816157273815402,3.82757293819804,0.409437443331143,0.52225517505812,"ENSG00000001460","STPG1","90529",FALSE,FALSE,FALSE
"ENSG00000001461",-0.0647432113730515,5.97997839550511,0.254150711919493,0.614167479384351,"ENSG00000001461","NIPAL3","57185",FALSE,FALSE,FALSE
"ENSG00000001497",-0.115975313367226,5.66150317556436,1.06480453395653,0.302121934424264,"ENSG00000001497","LAS1L","81887",FALSE,FALSE,FALSE
"ENSG00000001561",-0.0435903562689646,5.68911525404495,0.0257713921095615,0.872459884017589,"ENSG00000001561","ENPP4","22875",FALSE,FALSE,FALSE
"ENSG00000001630",-0.366483891163593,6.29263858912134,4.67842877944523,0.0305436727487113,"ENSG00000001630","CYP51A1","1595",TRUE,FALSE,FALSE
"ENSG00000002079",-0.129592109362476,1.5930210299929,0.362619291178021,0.547055134666565,"ENSG00000002079","MYH16","84176",FALSE,FALSE,FALSE
"ENSG00000002549",-0.189347065666276,5.34234855411223,0.878359607466876,0.348651363600626,"ENSG00000002549","LAP3","51056",FALSE,FALSE,FALSE
"ENSG00000002586",-0.770962740302009,6.20392789695272,8.91176498082771,0.0028333928726316,"ENSG00000002586","CD99","4267",TRUE,FALSE,FALSE
"ENSG00000002587",-0.261789969730127,4.43630007568817,1.26878699801027,0.259994361626741,"ENSG00000002587","HS3ST1","9957",FALSE,FALSE,FALSE
"ENSG00000002726",-1.63150866052209,4.55331680131343,13.7629683523159,0.000207384141716619,"ENSG00000002726","AOC1","26",TRUE,FALSE,TRUE
"ENSG00000002822",-0.105110979158212,5.22268803354114,0.20418372321187,0.651364848835553,"ENSG00000002822","MAD1L1","8379",FALSE,FALSE,FALSE
"ENSG00000002834",-0.000138571983469325,7.22127473125333,9.33066971242624e-07,0.999229280402425,"ENSG00000002834","LASP1","3927",FALSE,FALSE,FALSE
"ENSG00000002919",-0.202671722171956,4.75158599430958,2.84864302625432,0.091451096074729,"ENSG00000002919","SNX11","29916",FALSE,FALSE,FALSE
"ENSG00000002933",-0.753423805723434,5.55593494480616,10.0567333939309,0.00151792130060448,"ENSG00000002933","TMEM176A","55365",TRUE,FALSE,FALSE
"ENSG00000003056",-0.104072524291888,5.75225651533117,0.456282496741395,0.499366497491969,"ENSG00000003056","M6PR","4074",FALSE,FALSE,FALSE
