"","log2fc","logCPM","LR","pvalue","ENSEMBL","SYMBOL","ENTREZID","is_sig","is_lipid","is_use"
"ENSG00000000005",0.413161209693078,-1.87637325482997,0.92045518719975,0.337355483354985,"ENSG00000000005","TNMD","64102",FALSE,FALSE,FALSE
"ENSG00000000457",0.231167175706045,5.17847631931132,3.39445497569109,0.0654159789086048,"ENSG00000000457","SCYL3","57147",FALSE,FALSE,FALSE
"ENSG00000000460",0.128299592804669,5.35561626136112,0.437174667681631,0.50848928470708,"ENSG00000000460","FIRRM","55732",FALSE,FALSE,FALSE
"ENSG00000000971",0.169666306516727,4.88659688151792,0.295239513919455,0.586882325352579,"ENSG00000000971","CFH","3075",FALSE,FALSE,FALSE
"ENSG00000001167",0.276047918489341,5.74081368231517,2.42888188489381,0.119117835477679,"ENSG00000001167","NFYA","4800",FALSE,FALSE,FALSE
"ENSG00000001617",0.155370245302029,4.78201026294751,0.815648962453707,0.366455386059669,"ENSG00000001617","SEMA3F","6405",FALSE,FALSE,FALSE
"ENSG00000001626",0.0482035647567012,1.84556691667767,0.0140497703569764,0.905646357602392,"ENSG00000001626","CFTR","1080",FALSE,FALSE,FALSE
"ENSG00000001629",0.0888517735550077,6.56072562990965,1.15129597013393,0.283278021961762,"ENSG00000001629","ANKIB1","54467",FALSE,FALSE,FALSE
"ENSG00000001631",0.0575999547744185,6.00763334417905,0.265154288219236,0.606600997586855,"ENSG00000001631","KRIT1","889",FALSE,FALSE,FALSE
"ENSG00000002016",0.0467999573400213,4.79505298405542,0.267594249554648,0.604950154462832,"ENSG00000002016","RAD52","5893",FALSE,FALSE,FALSE
"ENSG00000002330",0.00174847481005924,4.30659400024765,0.000112604535672745,0.991533384194081,"ENSG00000002330","BAD","572",FALSE,FALSE,FALSE
"ENSG00000002745",1.20796632722142,2.3118403197137,5.8508161743116,0.0155698285076214,"ENSG00000002745","WNT16","51384",TRUE,FALSE,TRUE
