,nmf_3_clusters,kmeans_3_clusters,nmf_2_clusters,kmeans_2_clusters,batch
1452,1,1,1,1,1
8339,1,1,1,1,1
5608,1,1,1,1,1
8232,3,3,2,2,1
8775,2,3,2,2,1
5759,2,3,2,2,1
7991,3,1,1,1,1
7311,1,1,1,1,1
2667,3,3,2,2,1
4202,2,2,2,2,1
7970,1,1,1,1,1
8816,3,2,2,2,1
2423,1,1,1,1,1
2739,3,2,2,2,1
8024,2,2,2,1,1
1520,2,3,2,2,1
3334,2,3,2,2,1
6625,1,2,2,1,1
6927,3,2,2,2,1
1775,1,1,1,1,1
6137,2,3,2,2,1
4876,3,3,2,2,1
2026,1,2,2,1,1
6864,1,1,1,1,1
1277,3,2,2,2,1
1334,1,2,1,1,1
8575,1,2,2,1,1
8288,1,1,1,1,1
4931,1,1,1,1,1
8410,3,2,2,2,1
2669,1,1,1,1,1
1870,1,2,2,1,1
5078,3,3,2,2,1
1272,3,3,2,2,1
2707,1,2,1,1,1
2480,1,1,1,1,1
6808,1,1,1,1,1
8105,1,2,1,1,1
8418,3,3,2,2,1
2257,3,2,2,1,1
2139,2,2,2,2,1
2984,3,3,2,2,1
4254,1,2,2,1,1
2877,3,2,1,1,1
5058,3,2,2,2,1
2706,1,2,1,1,1
2663,3,3,2,2,1
3243,3,1,1,1,1
7038,3,2,2,2,1
4059,1,2,1,1,1
2039,1,2,1,1,1
2208,1,1,1,1,1
6176,3,3,2,2,1
8711,3,3,2,2,1
140279-T,3,2,2,2,2
180041-T,3,2,2,1,2
2536-T,2,2,2,2,2
154264-T,3,2,2,2,2
173161-1-T,3,2,2,1,2
196633-T,3,2,2,2,2
271431-T,2,2,2,2,2
120155-T,2,2,2,2,2
120342-T,1,2,1,1,2
120367-T,1,2,1,1,2
120412-T,1,2,2,1,2
130010-T,3,2,2,2,2
130197-T,3,2,2,2,2
130222-T,3,3,2,2,2
140263-T,3,2,2,1,2
140389-T,1,2,2,1,2
150099-T,1,2,1,1,2
150230-T,3,3,2,2,2
150245-T,1,2,1,1,2
150342-T,1,2,1,1,2
160087-T,1,2,1,1,2
160115-T,3,2,1,1,2
160143-T,3,2,1,1,2
160229-T,3,3,2,2,2
170046-T,2,2,2,1,2
170116-T,1,2,1,1,2
170134-T,1,2,2,1,2
170195-T,2,2,2,2,2
170265-T,2,3,2,2,2
170282-T,3,3,2,2,2
180118-T,3,3,2,2,2
180224-T,1,2,1,1,2
190149-T,1,2,1,1,2
190069-T,2,3,2,2,2
200297-T,3,3,2,2,2
210011-T,1,2,2,1,2
200095-T,1,2,1,1,2
200097-T,1,2,1,1,2
200128-T,3,2,2,2,2
130190-T,2,2,2,2,2
354228-T,1,2,1,1,2
120136-T,3,2,2,2,2
173161-2-T,3,2,2,1,2
222836-T,3,2,2,2,2
140143-T,1,2,1,1,2
190040-T,1,2,1,1,2
190161-T,3,2,2,1,2
200288-T,3,2,2,2,2
200131-T,3,2,2,1,2
